Threshold = 69 | F-measure = 0.1872145 | clusters = 144 | common = 34 | cost = 1068490.375
Threshold = 70 | F-measure = 0.1430844 | clusters = 159 | common = 28 | cost = 1063772.125
Threshold = 71 | F-measure = 0.1021231 | clusters = 157 | common = 22 | cost = 1056830.5
Threshold = 72 | F-measure = 0.2218567 | clusters = 164 | common = 39 | cost = 1054800.625
Threshold = 73 | F-measure = 0.2106653 | clusters = 163 | common = 36 | cost = 1048563.0625
Threshold = 74 | F-measure = 0.1409893 | clusters = 164 | common = 27 | cost = 1042903.1875
Threshold = 75 | F-measure = 0.1345406 | clusters = 158 | common = 27 | cost = 1036002.875
Threshold = 76 | F-measure = 0.1228343 | clusters = 140 | common = 27 | cost = 1031092.125
Threshold = 77 | F-measure = 0.1364348 | clusters = 170 | common = 27 | cost = 1029649.875
Threshold = 78 | F-measure = 0.1409024 | clusters = 186 | common = 26 | cost = 1022720.25
Threshold = 79 | F-measure = 0.1640041 | clusters = 180 | common = 30 | cost = 1019951.25
Threshold = 80 | F-measure = 0.1270146 | clusters = 182 | common = 25 | cost = 1014360.4375
Threshold = 81 | F-measure = 0.181281 | clusters = 171 | common = 33 | cost = 1007500.75
Threshold = 82 | F-measure = 0.1985339 | clusters = 182 | common = 34 | cost = 1003931.1875
Threshold = 83 | F-measure = 0.1823667 | clusters = 181 | common = 32 | cost = 998352.25
Threshold = 84 | F-measure = 0.0954271 | clusters = 164 | common = 21 | cost = 992199.9375
Threshold = 85 | F-measure = 0.1740811 | clusters = 166 | common = 32 | cost = 987602.75
Threshold = 86 | F-measure = 0.1217518 | clusters = 184 | common = 24 | cost = 980875.375
Threshold = 87 | F-measure = 0.1381242 | clusters = 176 | common = 27 | cost = 974991.75
Threshold = 88 | F-measure = 0.1719048 | clusters = 195 | common = 30 | cost = 970778.6875
Threshold = 89 | F-measure = 0.1396874 | clusters = 179 | common = 28 | cost = 962765.75
Threshold = 90 | F-measure = 0.1543774 | clusters = 182 | common = 28 | cost = 959686.1875
Threshold = 91 | F-measure = 0.1611279 | clusters = 185 | common = 29 | cost = 956045.9375
Threshold = 92 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 950653.9375
Threshold = 93 | F-measure = 0.1977792 | clusters = 163 | common = 34 | cost = 940296.75
Threshold = 94 | F-measure = 0.1426441 | clusters = 167 | common = 27 | cost = 937827.5625
Threshold = 95 | F-measure = 0.1570851 | clusters = 167 | common = 29 | cost = 932652.375
Threshold = 96 | F-measure = 0.1538349 | clusters = 209 | common = 28 | cost = 927398.875
Threshold = 97 | F-measure = 0.1707342 | clusters = 216 | common = 29 | cost = 922136.5
Threshold = 98 | F-measure = 0.1871434 | clusters = 165 | common = 34 | cost = 915725.5
Threshold = 99 | F-measure = 0.1178199 | clusters = 145 | common = 26 | cost = 909974.5
Threshold = 100 | F-measure = 0.1481875 | clusters = 146 | common = 30 | cost = 904593.4375
Best Clustering:
Threshold = 52 | F-measure = 0.2639468 | clusters = 10 | common = 96 | cost = 1068437.375
Total time for clustering: 2.99843405485153 minutes
