Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9157.646484375
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9817.583984375
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10521.4091796875
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11266.78515625
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12049.8232421875
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12865.2978515625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13726.15234375
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14644.2138671875
Threshold = 74 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 15619.8154296875
Threshold = 75 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 16655.224609375
Threshold = 76 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17753.0625
Threshold = 77 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18915.19140625
Threshold = 78 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 20145.87890625
Threshold = 79 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21448.974609375
Threshold = 80 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 22834.564453125
Threshold = 81 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 24302.62109375
Threshold = 82 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25867.66015625
Threshold = 83 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 27517.517578125
Threshold = 84 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 29251.107421875
Threshold = 85 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 31098.654296875
Threshold = 86 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 33053.87890625
Threshold = 87 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 35115.1953125
Threshold = 88 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 37288.5390625
Threshold = 89 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 39567.34375
Threshold = 90 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 41979.734375
Threshold = 91 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 44519.5
Threshold = 92 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 47206.97265625
Threshold = 93 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 50026.53515625
Threshold = 94 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 52981.40625
Threshold = 95 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 56081.3359375
Threshold = 96 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 59337.1484375
Threshold = 97 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 62749.52734375
Threshold = 98 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 66327.890625
Threshold = 99 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 70063.671875
Threshold = 100 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 73962.9609375
Threshold = 101 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 78030.2421875
Threshold = 102 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 82264.8515625
Threshold = 103 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 86680.984375
Threshold = 104 | F-measure = 0.2647541 | clusters = 2 | common = 101 | cost = 90972.3984375
Threshold = 105 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 96006.7109375
Threshold = 106 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 100941.8515625
