Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 3 1
4 6 1
5 9 1
6 12 1
7 15 1
8 19 1
9 25 1
10 33 1
11 42 1
12 51 1
13 63 1
14 76 1
15 91 1
16 110 1
17 132 1
18 165 1
19 209 1
20 266 1
21 341 1
22 436 1
23 554 1
24 702 1
25 878 1
26 1090 1
27 1346 1
28 1655 1
29 2041 1
30 2510 1
31 3070 1
32 3730 1
33 4515 1
34 5437 1
35 6524 1
36 7803 1
37 9309 1
38 11049 1
39 13063 1
40 15422 1
41 18150 1
42 21277 1
43 24881 1
44 28972 1
45 33639 1
46 38956 1
47 44974 1
48 51771 1
49 59472 1
50 68147 1
51 77879 1
52 88728 1
53 100815 1
54 114254 1
55 129148 1
56 145578 1
57 163686 1
58 183592 1
59 205401 1
60 229357 1
61 255596 1
62 284230 1
63 315366 1
64 349182 1
65 385856 1
66 425628 1
67 468615 1
68 514986 1
69 564905 1
70 618603 1
71 676282 1
72 738155 1
73 804284 1
74 874827 1
75 949976 1
76 1030064 1
77 1115190 1
78 1205401 1
79 1300831 1
80 1401548 1
81 1507809 1
82 1619733 1
83 1737419 1
84 1811250 4
85 1937126 4
86 2069052 4
87 2207149 4
88 2340956 6
89 2467877 8
90 2582874 13
91 2648567 15
92 2725857 33
93 2817758 35
94 2917301 43
95 2788396 170
96 2500443 179
97 2309819 193
98 2522263 280
99 2258014 302
100 2097173 305
101 1971097 339
102 1888136 362
103 1596068 318
104 1548985 344
105 1452375 362
106 1325605 418
107 1219788 416
108 1128850 380
109 1057927 397
110 1010773 433
111 956435 440
112 912852 482
113 880367 625
114 827346 712
115 762632 770
116 697715 759
117 639957 808
118 581897 755
119 531710 815
120 483145 830
121 437911 811
122 396481 827
123 358150 846
124 322470 844
125 288894 819
126 259659 854
127 232342 859
128 206864 848
129 184255 860
130 163288 856
131 144481 860
132 127431 861
133 112015 865
134 98172 863
135 85756 861
136 74675 864
137 64883 866
138 56142 866
139 48392 866
140 41530 866
141 35486 865
142 30198 866
143 25594 866
144 21593 866
145 18124 864
146 15158 864
147 12625 863
148 10468 863
149 8619 862
150 7005 854
151 5615 840
152 4318 807
153 3147 766
154 2231 740
155 1421 706
156 808 680
157 325 656
158 220 685
159 145 709
160 92 736
161 63 756
162 40 775
163 21 788
164 9 802
165 3 815
166 1 827
167 0 836
168 0 846
169 1 848
170 2 853
171 1 855
172 0 856
173 0 858
174 0 861
175 0 861
176 0 862
177 0 865
178 0 865
179 0 865
180 0 865
181 0 865
182 0 866
183 0 866
