Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 2 1
3 13 1
4 40 1
5 101 1
6 241 1
7 519 1
8 958 1
9 1626 1
10 2567 1
11 3837 1
12 5502 1
13 7645 1
14 10326 1
15 13582 1
16 17425 1
17 21901 1
18 27067 1
19 32937 1
20 39578 1
21 47025 1
22 55322 1
23 64490 1
24 74538 1
25 85517 1
26 97468 1
27 110473 1
28 124605 1
29 139866 1
30 156300 1
31 173962 1
32 192894 1
33 213147 1
34 234812 1
35 257859 1
36 282389 1
37 308424 1
38 336048 1
39 365346 1
40 396297 1
41 428959 1
42 463357 1
43 499543 1
44 537580 1
45 577568 1
46 619563 1
47 663581 1
48 709669 1
49 757836 1
50 808125 1
51 860670 1
52 915438 1
53 972495 1
54 1031942 1
55 1093856 1
56 1158191 1
57 1225038 1
58 1294482 1
59 1366471 1
60 1441082 1
61 1518348 1
62 1598233 1
63 1680766 1
64 1766017 1
65 1854032 1
66 1944885 1
67 2038650 1
68 2135368 1
69 2235093 1
70 2337926 1
71 2443960 1
72 2553313 1
73 2666057 1
74 2782227 1
75 2901756 1
76 2890073 17
77 3130081 32
78 3006308 19
79 3033988 43
80 3130146 50
81 3041456 152
82 2343720 111
83 2793395 134
84 2011431 67
85 1335994 56
86 1391769 50
87 901970 14
88 771535 7
89 742198 6
90 1018869 16
91 862678 19
92 1047396 35
93 878406 16
94 875660 19
95 694876 3
96 696603 4
97 709278 4
98 764842 4
99 826588 7
100 745331 18
101 698102 13
102 765204 16
103 729244 25
104 683533 22
105 644096 38
106 579245 29
107 536465 30
108 484656 38
109 432363 41
110 437355 56
111 376417 80
112 375747 120
113 348524 193
114 347254 281
115 303951 388
116 272534 478
117 242890 583
118 205688 636
119 169160 705
120 140207 740
121 112193 807
122 88019 833
123 66959 864
124 48394 866
125 33493 866
126 21894 866
127 13258 866
128 7179 866
129 3251 853
130 671 575
131 20 561
132 0 841
133 0 866
