Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 4 1
5 6 1
6 8 1
7 10 1
8 13 1
9 16 1
10 19 1
11 23 1
12 28 1
13 34 1
14 42 1
15 55 1
16 71 1
17 90 1
18 113 1
19 142 1
20 182 1
21 235 1
22 297 1
23 368 1
24 458 1
25 571 1
26 708 1
27 879 1
28 1089 1
29 1343 1
30 1647 1
31 2009 1
32 2450 1
33 2957 1
34 3551 1
35 4233 1
36 5027 1
37 5965 1
38 7068 1
39 8344 1
40 9794 1
41 11472 1
42 13429 1
43 15657 1
44 18196 1
45 21103 1
46 24421 1
47 28178 1
48 32423 1
49 37229 1
50 42637 1
51 48735 1
52 55602 1
53 63266 1
54 71864 1
55 81462 1
56 92179 1
57 104127 1
58 117446 1
59 132223 1
60 148515 1
61 166505 1
62 186325 1
63 208161 1
64 232126 1
65 258337 1
66 287020 1
67 318330 1
68 352425 1
69 389513 1
70 429726 1
71 473293 1
72 520459 1
73 571444 1
74 626404 1
75 685528 1
76 749042 1
77 815945 2
78 889906 1
79 967613 1
80 1050391 1
81 1138474 1
82 1231931 1
83 1330883 1
84 1425426 2
85 1535265 2
86 1629804 4
87 1739922 5
88 1844867 7
89 1872984 18
90 1969172 19
91 2082078 22
92 2076873 39
93 2163228 45
94 2245826 48
95 2308882 56
96 2236202 87
97 2306191 85
98 2312695 105
99 2287820 157
100 2255731 134
101 2164226 179
102 2032893 202
103 1945260 496
104 1794384 487
105 1621184 458
106 1537494 494
107 1438806 532
108 1313729 532
109 1237801 512
110 1079588 518
111 1034837 575
112 930177 561
113 856712 543
114 780724 557
115 738726 620
116 668526 625
117 610618 633
118 567810 674
119 518335 648
120 471251 644
121 429916 757
122 389202 724
123 354501 727
124 318928 758
125 285796 767
126 258426 777
127 231467 796
128 206290 807
129 184907 820
130 164693 835
131 145996 834
132 129699 851
133 114680 858
134 100806 846
135 89061 862
136 78232 866
137 68475 864
138 59841 864
139 52237 863
140 45485 866
141 39465 865
142 34161 866
143 29485 866
144 25358 864
145 21742 862
146 18565 862
147 15830 863
148 13452 863
149 11398 861
150 9628 857
151 8130 856
152 6837 852
153 5671 844
154 4678 841
155 3778 832
156 3010 821
157 2359 802
158 1814 796
159 1376 787
160 1047 784
161 738 773
162 283 749
163 203 759
164 144 765
165 101 779
166 69 793
167 46 807
168 31 815
169 22 826
170 14 833
171 8 839
172 5 845
173 2 848
174 0 853
175 0 857
176 0 859
177 0 859
178 0 861
179 0 862
180 0 862
181 0 863
182 0 863
183 0 863
184 0 864
185 0 865
186 0 865
187 0 865
188 0 865
189 0 865
190 0 865
191 0 866
192 0 866
