Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 4 1
5 7 1
6 11 1
7 15 1
8 21 1
9 27 1
10 36 1
11 45 1
12 54 1
13 66 1
14 81 1
15 101 1
16 123 1
17 154 1
18 196 1
19 249 1
20 319 1
21 405 1
22 509 1
23 643 1
24 805 1
25 997 1
26 1225 1
27 1500 1
28 1826 1
29 2200 1
30 2621 1
31 3113 1
32 3708 1
33 4414 1
34 5245 1
35 6232 1
36 7376 1
37 8720 1
38 10268 1
39 12057 1
40 14097 1
41 16482 1
42 19261 1
43 22457 1
44 26086 1
45 30253 1
46 35015 1
47 40408 1
48 46516 1
49 53406 1
50 61153 1
51 69897 1
52 79748 1
53 90795 1
54 103110 1
55 116853 1
56 132114 1
57 149107 1
58 167979 1
59 188942 1
60 212123 1
61 237635 1
62 265695 1
63 296453 1
64 330100 1
65 366799 1
66 406806 1
67 450380 1
68 497689 1
69 548895 1
70 604204 1
71 663907 1
72 728248 1
73 797334 1
74 871376 1
75 950728 1
76 1035644 1
77 1126180 1
78 1222709 1
79 1325462 1
80 1411420 5
81 1481806 8
82 1589072 9
83 1675776 13
84 1764816 17
85 1826022 24
86 1886261 33
87 1959009 47
88 1983764 56
89 1965420 71
90 1994365 97
91 2053359 89
92 2027640 110
93 2099247 116
94 2054180 155
95 2025028 170
96 2010813 180
97 1781701 254
98 1724814 574
99 1585485 478
100 1472173 535
101 1336922 534
102 1233519 590
103 1113232 551
104 1027135 577
105 920411 564
106 846773 626
107 779407 621
108 707641 629
109 647102 649
110 596288 652
111 548009 673
112 495937 705
113 453115 730
114 408311 727
115 367881 751
116 334306 771
117 297815 765
118 265917 783
119 239255 781
120 212457 796
121 189647 791
122 168406 830
123 149013 828
124 131697 836
125 115865 854
126 101738 861
127 88939 853
128 77691 862
129 67704 866
130 58745 862
131 50884 866
132 43912 866
133 37779 866
134 32433 865
135 27806 866
136 23812 866
137 20332 864
138 17313 863
139 14696 862
140 12422 861
141 10493 858
142 8839 856
143 7422 855
144 6190 854
145 5128 847
146 4239 841
147 3508 846
148 2841 836
149 2302 829
150 1870 828
151 1447 818
152 1083 808
153 683 783
154 325 768
155 244 777
156 182 797
157 137 803
158 99 815
159 70 820
160 47 829
161 31 837
162 18 845
163 10 849
164 5 853
165 1 854
166 0 856
167 0 857
168 0 858
169 0 860
170 0 860
171 0 861
172 0 862
173 0 863
174 0 863
175 0 863
176 0 864
177 0 865
178 0 865
179 0 865
180 0 865
181 0 865
182 0 866
183 0 866
