Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 3 1
4 6 1
5 11 1
6 16 1
7 21 1
8 27 1
9 35 1
10 45 1
11 60 1
12 79 1
13 105 1
14 138 1
15 182 1
16 236 1
17 299 1
18 373 1
19 456 1
20 553 1
21 669 1
22 812 1
23 992 1
24 1209 1
25 1465 1
26 1758 1
27 2105 1
28 2531 1
29 3042 1
30 3644 1
31 4345 1
32 5179 1
33 6172 1
34 7335 1
35 8685 1
36 10249 1
37 12056 1
38 14135 1
39 16557 1
40 19333 1
41 22499 1
42 26122 1
43 30278 1
44 35042 1
45 40460 1
46 46602 1
47 53560 1
48 61432 1
49 70302 1
50 80247 1
51 91366 1
52 103755 1
53 117536 1
54 132844 1
55 149859 1
56 168746 1
57 189600 1
58 212544 1
59 237788 1
60 265538 1
61 295943 1
62 329128 1
63 365399 1
64 404916 1
65 447848 1
66 494379 1
67 544830 1
68 599364 1
69 658238 1
70 721647 1
71 789844 1
72 863057 1
73 941372 1
74 1024983 1
75 1114274 1
76 1209309 1
77 1300013 2
78 1406505 2
79 1508992 3
80 1608295 5
81 1721233 6
82 1848161 10
83 1885420 17
84 1969809 21
85 2068950 24
86 2097340 41
87 2161438 53
88 2184552 68
89 2102534 90
90 2201436 93
91 2189888 112
92 2188656 119
93 2221735 172
94 2128010 178
95 2016116 534
96 1854749 521
97 1712901 499
98 1561818 466
99 1451406 484
100 1326114 511
101 1254570 574
102 1107978 499
103 1025588 533
104 934225 559
105 844886 536
106 797496 562
107 721429 563
108 671789 571
109 606040 594
110 560123 666
111 510385 652
112 463631 700
113 420564 687
114 377950 699
115 340213 722
116 305980 737
117 275055 760
118 246911 793
119 220143 797
120 196041 798
121 173341 818
122 154622 849
123 136407 842
124 120349 850
125 105823 850
126 93040 855
127 81691 866
128 71471 865
129 62370 865
130 54331 865
131 47237 866
132 40897 865
133 35359 866
134 30459 866
135 26166 866
136 22429 866
137 19175 866
138 16352 866
139 13891 864
140 11762 862
141 9938 862
142 8322 860
143 6974 856
144 5811 848
145 4835 846
146 3998 843
147 3268 831
148 2671 823
149 2088 814
150 1679 813
151 1287 801
152 912 788
153 626 780
154 246 755
155 180 765
156 130 777
157 94 784
158 67 794
159 45 813
160 28 818
161 18 831
162 12 839
163 7 844
164 5 848
165 3 851
166 1 852
167 0 855
168 0 858
169 0 860
170 0 861
171 0 862
172 0 864
173 0 864
174 0 865
175 0 865
176 0 865
177 0 866
