Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 3 1
5 6 1
6 9 1
7 12 1
8 15 1
9 18 1
10 21 1
11 28 1
12 35 1
13 45 1
14 60 1
15 78 1
16 106 1
17 143 1
18 191 1
19 250 1
20 323 1
21 412 1
22 523 1
23 657 1
24 810 1
25 996 1
26 1226 1
27 1499 1
28 1819 1
29 2198 1
30 2641 1
31 3169 1
32 3792 1
33 4513 1
34 5361 1
35 6348 1
36 7489 1
37 8821 1
38 10386 1
39 12188 1
40 14246 1
41 16590 1
42 19254 1
43 22270 1
44 25709 1
45 29624 1
46 34065 1
47 39090 1
48 44738 1
49 51077 1
50 58178 1
51 66144 1
52 74998 1
53 84809 1
54 95705 1
55 107795 1
56 121196 1
57 135989 1
58 152243 1
59 170050 1
60 189611 1
61 211033 1
62 234508 1
63 260165 1
64 288076 1
65 318468 1
66 351465 1
67 387220 1
68 425949 1
69 467696 1
70 512712 1
71 561126 1
72 613132 1
73 668925 1
74 728603 1
75 792290 1
76 860170 1
77 932478 1
78 1009294 1
79 1090797 1
80 1177180 1
81 1268584 1
82 1365168 1
83 1467021 1
84 1574383 1
85 1674423 2
86 1792194 2
87 1878214 4
88 1992545 5
89 2112148 6
90 2187212 13
91 2280354 27
92 2386049 21
93 2437869 36
94 2514965 35
95 2645577 48
96 2611014 77
97 2648584 88
98 2631538 105
99 2535026 258
100 2424486 218
101 2283096 327
102 2215005 314
103 2047296 346
104 1919260 376
105 1705423 353
106 1671200 415
107 1516863 361
108 1345645 382
109 1278818 405
110 1217259 405
111 1145158 446
112 1090707 466
113 992221 444
114 893952 429
115 892533 560
116 859326 657
117 741952 538
118 725992 755
119 664383 771
120 604272 746
121 552595 811
122 501081 799
123 453061 773
124 410522 812
125 370691 817
126 333700 836
127 299610 844
128 268615 854
129 239542 839
130 213487 851
131 189473 837
132 167961 856
133 148421 858
134 130719 866
135 114725 860
136 100400 861
137 87673 866
138 76231 864
139 66114 865
140 57172 866
141 49275 866
142 42287 866
143 36140 866
144 30778 866
145 26119 866
146 22092 866
147 18627 866
148 15632 865
149 13033 863
150 10813 864
151 8877 860
152 7156 849
153 5753 840
154 4514 822
155 3543 811
156 2679 796
157 1792 748
158 515 628
159 365 655
160 253 689
161 167 713
162 109 744
163 68 759
164 41 779
165 24 790
166 13 801
167 9 814
168 6 829
169 4 835
170 2 844
171 1 850
172 0 855
173 0 857
174 0 861
175 0 861
176 0 862
177 0 863
178 0 864
179 0 865
180 0 865
181 0 866
182 0 866
