Threshold Cost Clusters
-1 0 1
0 0 1
1 345549 1
2 688747 2
3 1035012 2
4 952541 33
5 1035791 82
6 914413 48
7 1001994 67
8 1114618 106
9 1098845 132
10 1059810 126
11 1142434 110
12 1145361 122
13 1105779 125
14 1127037 172
15 1126390 94
16 1130757 100
17 1081495 134
18 1093690 137
19 1131177 204
20 1138546 216
21 1190720 219
22 1258585 291
23 1233859 300
24 1201769 302
25 1278575 388
26 1317456 453
27 1288307 425
28 1238759 406
29 1335046 449
30 1333369 483
31 1347756 508
32 1337907 546
33 1328034 542
34 1338788 580
35 1312980 556
36 1320501 591
37 1316701 613
38 1319748 643
39 1307778 650
40 1296116 663
41 1286129 647
42 1270594 643
43 1258364 650
44 1245653 657
45 1219111 655
46 1208823 682
47 1198227 679
48 1191899 704
49 1164125 659
50 1147967 663
51 1142094 688
52 1125320 694
53 1108458 694
54 1104220 695
55 1088156 705
56 1075404 705
57 1071870 732
58 1014927 683
59 1045581 735
60 1022629 742
61 1020481 754
62 1006392 748
63 986142 749
64 985415 769
65 971161 763
66 954062 761
67 952883 777
68 930924 768
69 917248 780
70 909924 772
71 896579 770
72 888872 784
73 875678 799
74 848100 788
75 845364 796
76 836161 787
77 822311 796
78 811780 817
79 801069 828
80 789574 821
81 777367 827
82 765342 834
83 748637 831
84 736324 831
85 723297 833
86 709757 829
87 695987 840
88 683361 844
89 669705 839
90 656827 842
91 643692 842
92 630554 842
93 617540 834
94 604816 835
95 592728 837
96 581718 846
97 568691 846
98 556573 855
99 543740 857
100 530388 854
101 517499 856
102 504995 861
103 491919 859
104 479257 864
105 466477 864
106 453490 861
107 440946 863
108 428411 865
109 415936 866
110 403422 865
111 391144 866
112 378904 866
113 366642 864
114 354709 866
115 342725 866
116 330822 866
117 319029 866
118 307334 866
119 295731 866
120 284248 866
121 272869 866
122 261538 865
123 250430 866
124 239377 866
125 228467 866
126 217706 866
127 207081 866
128 196494 864
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147099 866
134 137970 866
135 129074 864
136 120693 864
137 112764 864
138 105329 864
139 98391 864
140 91895 864
141 85763 863
142 80079 864
143 74703 864
144 69718 864
145 65028 862
146 60726 862
147 56774 862
148 53112 862
149 49709 862
150 46481 861
151 43475 861
152 40650 861
153 37957 861
154 35334 860
155 32833 861
156 30434 861
157 27989 857
158 25729 857
159 23515 856
160 21391 856
161 19273 851
162 17283 850
163 15381 850
164 13536 847
165 11686 841
166 9847 825
167 7667 769
168 6206 756
169 4757 718
170 3300 664
171 1512 523
172 959 526
173 540 546
174 213 547
175 115 600
176 59 656
177 26 704
178 6 749
179 1 804
180 0 866
181 0 866
