Threshold Cost Clusters
-1 0 1
0 0 1
1 345548 1
2 682559 9
3 1000170 22
4 1290422 40
5 1578741 60
6 1803926 72
7 1934892 129
8 1919497 494
9 1866768 431
10 1854795 474
11 1833043 368
12 1814555 466
13 1793110 465
14 1769653 475
15 1761781 511
16 1750239 524
17 1744667 529
18 1730759 544
19 1707685 524
20 1675312 555
21 1662316 556
22 1653719 549
23 1643518 582
24 1625868 602
25 1585709 536
26 1580222 571
27 1568915 604
28 1562291 600
29 1543369 633
30 1523153 576
31 1503412 576
32 1494412 608
33 1478386 592
34 1461654 616
35 1446134 629
36 1425310 630
37 1409828 634
38 1392816 647
39 1383266 723
40 1362194 640
41 1353876 698
42 1333267 678
43 1322546 702
44 1299522 677
45 1289526 694
46 1277445 680
47 1257460 705
48 1245989 719
49 1230828 724
50 1212716 681
51 1200397 719
52 1187272 750
53 1172197 727
54 1158812 774
55 1143078 755
56 1128124 756
57 1113542 774
58 1100926 777
59 1085349 766
60 1069935 773
61 1055760 774
62 1042882 765
63 1026516 782
64 1015642 813
65 1000822 785
66 987162 794
67 973442 801
68 959269 813
69 945615 815
70 931940 823
71 917477 812
72 903455 819
73 889053 812
74 878086 860
75 863187 834
76 850583 854
77 837044 866
78 822298 839
79 809076 844
80 795895 847
81 782246 858
82 768958 851
83 754983 852
84 741647 851
85 728912 858
86 714950 851
87 702376 854
88 689171 862
89 675971 863
90 662701 864
91 649535 865
92 636270 864
93 623132 862
94 609957 865
95 596733 863
96 583680 865
97 570525 865
98 557266 862
99 544265 864
100 531240 863
101 518335 866
102 505316 865
103 492315 865
104 479225 860
105 466581 865
106 453605 861
107 441046 865
108 428352 862
109 415936 866
110 403491 866
111 391144 866
112 378843 865
113 366762 866
114 354709 866
115 342725 866
116 330822 866
117 318970 865
118 307278 865
119 295730 866
120 284198 865
121 272811 865
122 261593 866
123 250430 866
124 239376 866
125 228467 866
126 217706 866
127 207081 866
128 196580 866
129 186251 866
130 176127 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38068 866
154 35457 865
155 32948 864
156 30534 863
157 28188 862
158 25917 863
159 23703 863
160 21549 863
161 19473 863
162 17456 862
163 15533 862
164 13692 862
165 11903 860
166 10223 857
167 8665 856
168 7214 851
169 5893 850
170 4699 843
171 3655 840
172 2728 839
173 1935 833
174 1273 823
175 756 809
176 392 792
177 103 751
178 37 776
179 6 817
180 0 866
181 0 866
