Threshold Cost Clusters
-1 0 1
0 0 1
1 341523 7
2 665069 21
3 951278 44
4 1237014 54
5 1411298 98
6 1599355 137
7 1708192 191
8 1812680 211
9 1910585 549
10 1882106 547
11 1855814 510
12 1855026 543
13 1837606 543
14 1815499 530
15 1801768 553
16 1765407 553
17 1754987 552
18 1748897 640
19 1724712 586
20 1707651 648
21 1673039 589
22 1664379 642
23 1620067 584
24 1629619 629
25 1600670 609
26 1591980 628
27 1577136 645
28 1563929 666
29 1541177 644
30 1525146 641
31 1518688 708
32 1491752 672
33 1479829 696
34 1465012 700
35 1444187 670
36 1428304 656
37 1412144 648
38 1397383 684
39 1385078 687
40 1372644 711
41 1348313 703
42 1340888 731
43 1324700 749
44 1305656 710
45 1291632 700
46 1273460 690
47 1267732 771
48 1247546 724
49 1233527 757
50 1216459 710
51 1205537 764
52 1186164 756
53 1174057 776
54 1151746 743
55 1142582 756
56 1127794 771
57 1114098 780
58 1096630 758
59 1085304 760
60 1073030 801
61 1055297 788
62 1045290 819
63 1029154 765
64 1014794 783
65 1000048 752
66 987375 805
67 973288 779
68 959250 825
69 944875 806
70 931654 789
71 919308 845
72 904780 825
73 890804 821
74 875783 809
75 861901 830
76 849985 816
77 835534 818
78 822969 816
79 808020 821
80 795671 854
81 781746 838
82 769130 856
83 755445 851
84 742302 854
85 728930 860
86 715718 861
87 702336 858
88 688814 854
89 675680 851
90 662300 852
91 649483 864
92 636300 865
93 623122 865
94 609979 862
95 596524 857
96 583481 862
97 570424 857
98 557285 861
99 544194 862
100 531138 862
101 518307 862
102 505210 863
103 492321 865
104 479335 863
105 466621 866
106 453773 862
107 441085 865
108 428438 865
109 415907 865
110 403492 866
111 391083 865
112 378903 866
113 366763 866
114 354644 865
115 342725 866
116 330822 866
117 319000 865
118 307334 866
119 295731 866
120 284248 866
121 272869 866
122 261593 866
123 250429 866
124 239376 866
125 228466 866
126 217705 866
127 207080 866
128 196580 866
129 186251 866
130 176127 866
131 166209 866
132 156526 866
133 147099 866
134 137970 866
135 129191 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38068 866
154 35454 865
155 32935 864
156 30519 863
157 28191 863
158 25918 863
159 23705 863
160 21567 863
161 19491 863
162 17487 863
163 15558 863
164 13715 863
165 11949 863
166 10282 862
167 8713 861
168 7259 858
169 5941 855
170 4782 856
171 3715 855
172 2765 849
173 1963 844
174 1318 833
175 780 813
176 403 789
177 176 788
178 44 782
179 8 820
180 0 866
181 0 866
