Threshold Cost Clusters
-1 0 1
0 0 1
1 338059 11
2 661331 22
3 935052 52
4 1199255 67
5 1425565 93
6 1609348 125
7 1716349 158
8 1842708 230
9 1863279 264
10 1876203 482
11 1865940 530
12 1847355 518
13 1832372 538
14 1821765 598
15 1777895 563
16 1782545 591
17 1751321 541
18 1738946 540
19 1714574 585
20 1700260 593
21 1676242 611
22 1651916 611
23 1638595 619
24 1642130 689
25 1612358 639
26 1597947 643
27 1579798 642
28 1565800 686
29 1547115 686
30 1521526 656
31 1518402 704
32 1503425 686
33 1487238 658
34 1469052 694
35 1454332 689
36 1436588 724
37 1418885 718
38 1409916 733
39 1389342 707
40 1372828 741
41 1359400 727
42 1339894 699
43 1326752 721
44 1311509 728
45 1296252 745
46 1280198 747
47 1263709 748
48 1248710 758
49 1232060 742
50 1217917 745
51 1205036 751
52 1189840 787
53 1174488 801
54 1161637 821
55 1146194 772
56 1130209 788
57 1116928 788
58 1101397 792
59 1087280 793
60 1073349 815
61 1057645 797
62 1044764 783
63 1030176 807
64 1015330 799
65 1001677 821
66 986285 802
67 973114 817
68 960495 814
69 945233 817
70 931929 817
71 917514 804
72 903868 804
73 890590 827
74 876895 824
75 863743 830
76 850135 841
77 836152 830
78 822589 854
79 809399 846
80 794699 832
81 781482 841
82 768171 830
83 755782 852
84 742119 844
85 728778 848
86 715901 866
87 702121 847
88 689180 857
89 675805 862
90 662719 856
91 649408 863
92 636031 856
93 622891 859
94 609978 865
95 596704 863
96 583605 864
97 570525 862
98 557423 865
99 544346 865
100 531353 863
101 518301 865
102 505086 860
103 492223 863
104 479421 865
105 466562 865
106 453745 864
107 441056 865
108 428409 865
109 415840 864
110 403492 866
111 391145 866
112 378904 866
113 366763 866
114 354709 866
115 342725 866
116 330822 866
117 319028 866
118 307334 866
119 295731 866
120 284248 866
121 272870 866
122 261593 866
123 250429 866
124 239376 866
125 228424 865
126 217705 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112877 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60833 865
147 56848 864
148 53182 863
149 49773 863
150 46569 862
151 43559 862
152 40732 863
153 38034 863
154 35432 864
155 32926 864
156 30523 864
157 28193 864
158 25920 864
159 23705 864
160 21566 864
161 19490 864
162 17484 864
163 15537 862
164 13693 861
165 11921 861
166 10263 861
167 8692 859
168 7254 859
169 5942 857
170 4768 854
171 3687 844
172 2760 842
173 1963 838
174 1308 830
175 761 806
176 380 781
177 116 754
178 42 781
179 9 820
180 0 866
181 0 866
