Threshold Cost Clusters
-1 0 1
0 0 1
1 342173 6
2 664243 21
3 969402 34
4 1231310 57
5 1432731 84
6 1606748 110
7 1779276 141
8 1871252 182
9 1904654 443
10 1883494 509
11 1847970 514
12 1838581 530
13 1804592 486
14 1808925 556
15 1791876 524
16 1745803 521
17 1745891 544
18 1725123 526
19 1718498 569
20 1684280 553
21 1676435 593
22 1662808 568
23 1636726 599
24 1626528 596
25 1608385 626
26 1584058 598
27 1580228 647
28 1565333 624
29 1544093 631
30 1529163 640
31 1507200 635
32 1497307 658
33 1478904 673
34 1462476 658
35 1449582 670
36 1431428 676
37 1420002 688
38 1404548 690
39 1388892 669
40 1364310 663
41 1352944 665
42 1337095 682
43 1325496 730
44 1307554 714
45 1294439 716
46 1271108 667
47 1261918 720
48 1247823 730
49 1232981 727
50 1218840 745
51 1206198 754
52 1190849 786
53 1174092 792
54 1156831 771
55 1145305 746
56 1130366 750
57 1117110 781
58 1101728 741
59 1088657 842
60 1072873 786
61 1057416 785
62 1042928 766
63 1029681 826
64 1012945 760
65 1002409 774
66 986149 802
67 974242 835
68 959052 807
69 946665 800
70 931772 801
71 918282 813
72 904719 830
73 890811 817
74 876492 830
75 863169 825
76 849597 835
77 836533 859
78 822314 835
79 808980 830
80 795223 825
81 782111 841
82 768637 839
83 755724 846
84 742386 850
85 728807 859
86 715264 844
87 701938 844
88 688261 853
89 675604 852
90 662500 856
91 649475 859
92 636024 861
93 622928 862
94 609718 862
95 596706 862
96 583350 860
97 570406 862
98 557285 861
99 544308 864
100 531074 861
101 518105 862
102 505206 864
103 492282 863
104 479332 864
105 466619 866
106 453830 866
107 440938 863
108 428378 864
109 415936 866
110 403492 866
111 391145 866
112 378904 866
113 366703 865
114 354709 866
115 342725 866
116 330822 866
117 318971 865
118 307335 866
119 295731 866
120 284201 865
121 272869 866
122 261593 866
123 250430 866
124 239376 866
125 228466 866
126 217705 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120807 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38068 866
154 35463 866
155 32955 866
156 30550 866
157 28209 865
158 25922 864
159 23708 864
160 21568 864
161 19480 863
162 17476 863
163 15547 862
164 13701 861
165 11927 860
166 10270 861
167 8714 861
168 7279 859
169 5969 860
170 4800 860
171 3715 854
172 2762 848
173 1938 835
174 1271 820
175 749 804
176 404 789
177 192 791
178 44 786
179 7 820
180 0 866
181 0 866
