Threshold Cost Clusters
-1 0 1
0 0 1
1 343732 4
2 682313 9
3 1001364 21
4 1275649 43
5 1529732 68
6 1732570 107
7 1855485 373
8 1856378 448
9 1818804 390
10 1851687 440
11 1781056 429
12 1756201 377
13 1727213 426
14 1709216 446
15 1667438 423
16 1754718 532
17 1651999 467
18 1649301 444
19 1624374 443
20 1595666 481
21 1583269 443
22 1601287 488
23 1572447 470
24 1580120 502
25 1555985 535
26 1539105 484
27 1536728 507
28 1516538 530
29 1518170 538
30 1490625 577
31 1484603 558
32 1470674 566
33 1450463 585
34 1430985 594
35 1427649 611
36 1416711 609
37 1399157 596
38 1387076 639
39 1378008 636
40 1361279 602
41 1344053 624
42 1336176 691
43 1308118 665
44 1293221 657
45 1281028 675
46 1273466 668
47 1257030 698
48 1244446 716
49 1228140 712
50 1215510 732
51 1201336 745
52 1184928 742
53 1175658 790
54 1159367 791
55 1142103 748
56 1127758 761
57 1114798 788
58 1100286 807
59 1087548 827
60 1072503 827
61 1055964 794
62 1044527 804
63 1028849 814
64 1015388 816
65 1002035 831
66 988257 843
67 973599 828
68 960076 833
69 946783 847
70 932630 851
71 919191 838
72 904687 846
73 891411 853
74 877573 856
75 863781 851
76 850439 846
77 836454 852
78 822482 848
79 809391 857
80 795870 854
81 782402 860
82 768850 855
83 755574 859
84 742021 857
85 729074 860
86 715617 862
87 702458 864
88 689191 864
89 675838 861
90 662669 863
91 649456 864
92 636253 864
93 623129 865
94 610021 866
95 596860 866
96 583605 864
97 570601 866
98 557375 864
99 544344 864
100 531361 866
101 518258 865
102 505265 865
103 492311 865
104 479380 864
105 466558 865
106 453809 865
107 441037 864
108 428478 866
109 415893 865
110 403490 866
111 391143 866
112 378846 865
113 366696 865
114 354707 866
115 342724 866
116 330771 865
117 318968 865
118 307333 866
119 295731 866
120 284248 866
121 272869 866
122 261594 866
123 250430 866
124 239348 865
125 228468 866
126 217707 866
127 207081 866
128 196581 866
129 186252 866
130 176127 866
131 166209 866
132 156526 866
133 147099 866
134 137970 866
135 129191 866
136 120807 866
137 112876 866
138 105438 866
139 98478 865
140 91980 865
141 85881 865
142 80161 865
143 74782 865
144 69766 864
145 65118 864
146 60812 864
147 56838 863
148 53166 862
149 49761 862
150 46561 862
151 43552 862
152 40653 859
153 37960 859
154 35361 859
155 32861 860
156 30462 860
157 28136 860
158 25866 861
159 23655 861
160 21519 861
161 19445 861
162 17443 861
163 15521 861
164 13642 857
165 11858 854
166 10200 855
167 8649 854
168 7209 853
169 5901 849
170 4717 844
171 3646 836
172 2693 827
173 1912 826
174 1241 807
175 693 779
176 318 760
177 88 745
178 30 773
179 5 815
180 0 866
181 0 866
