Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 814775 10
4 792142 7
5 929729 3
6 1084653 5
7 1238388 3
8 1447016 4
9 1396202 16
10 1415277 23
11 1416033 12
12 1635504 36
13 1707555 32
14 1733197 22
15 1685812 9
16 1745348 12
17 1797743 6
18 1882423 7
19 1912232 48
20 1682542 23
21 1872696 41
22 2015520 60
23 1840571 27
24 1748936 32
25 1745330 47
26 1770263 53
27 1802444 55
28 1806710 51
29 1801022 47
30 1963943 35
31 1912352 60
32 1902504 60
33 1797729 72
34 1792213 68
35 1726562 61
36 1700228 58
37 1761538 75
38 1776700 91
39 1760512 62
40 1761308 59
41 1767446 60
42 1774187 80
43 1776199 81
44 1765349 98
45 1754324 94
46 1756385 95
47 1748208 159
48 1763169 98
49 1742437 163
50 1738383 155
51 1722512 159
52 1710074 159
53 1695867 156
54 1682755 155
55 1669273 160
56 1656417 174
57 1644536 177
58 1653141 186
59 1639187 272
60 1608058 259
61 1586164 258
62 1558506 259
63 1541606 270
64 1531384 278
65 1523772 292
66 1504563 311
67 1480960 326
68 1463161 345
69 1456696 364
70 1437932 373
71 1416183 388
72 1384574 405
73 1376943 423
74 1358970 445
75 1340162 463
76 1315574 474
77 1297554 486
78 1271177 493
79 1247513 510
80 1223861 519
81 1203757 553
82 1170788 549
83 1145748 563
84 1120282 573
85 1095226 588
86 1068705 594
87 1045563 602
88 1020816 616
89 999865 633
90 978703 641
91 958686 654
92 931663 662
93 912462 675
94 888986 686
95 865384 712
96 844737 736
97 816316 746
98 787862 760
99 759145 770
100 731035 777
101 705458 792
102 688844 812
103 660525 835
104 630924 850
105 600756 854
106 570506 857
107 540371 862
108 510092 863
109 479867 866
110 449554 866
111 419227 865
112 388929 866
113 358617 866
114 328305 866
115 297993 866
116 267681 866
117 237369 866
118 207057 866
119 176745 866
120 146433 866
121 116318 866
122 89524 866
123 66971 866
124 48394 866
125 33493 866
126 21894 866
127 13258 866
128 7179 866
129 3251 853
130 671 575
131 20 561
132 0 841
133 0 866
