Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 859694 25
4 1135659 42
5 1182248 42
6 1215416 63
7 1411282 79
8 1463529 89
9 1507950 113
10 1370856 64
11 1345313 40
12 1391014 53
13 1426162 43
14 1452942 43
15 1543379 80
16 1580128 116
17 1614195 111
18 1568761 91
19 1572200 77
20 1568909 325
21 1576954 360
22 1517687 323
23 1488469 367
24 1448538 349
25 1395562 309
26 1394137 334
27 1362867 346
28 1367673 421
29 1366536 510
30 1336047 492
31 1304129 500
32 1274969 499
33 1243002 476
34 1213404 458
35 1198087 555
36 1169318 556
37 1149996 578
38 1140386 622
39 1120626 663
40 1099008 695
41 1075806 724
42 1051270 747
43 1023472 768
44 994992 784
45 965412 794
46 936116 805
47 906309 812
48 876288 814
49 847022 817
50 817225 828
51 787163 837
52 756963 837
53 726970 842
54 696819 846
55 666655 850
56 636504 853
57 606235 853
58 576027 856
59 545727 856
60 515395 855
61 485161 857
62 454912 859
63 424604 859
64 394248 856
65 364058 858
66 333735 861
67 303403 860
68 273204 866
69 242891 866
70 212580 866
71 182268 866
72 151956 866
73 121645 866
74 93254 866
75 69823 866
76 50936 866
77 35995 866
78 24453 866
79 15896 866
80 9774 866
81 5569 864
82 2789 840
83 780 619
84 66 553
85 9 718
86 0 827
87 0 866
88 0 866
