Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1032699 1
4 1376932 1
5 1721165 1
6 1756268 136
7 1707844 101
8 1769496 98
9 1711308 89
10 1753614 74
11 1834966 135
12 1755699 109
13 1831817 167
14 1800812 205
15 1791017 173
16 1763633 188
17 1765870 209
18 1752409 190
19 1733634 257
20 1713527 394
21 1685111 389
22 1658553 403
23 1628258 395
24 1596271 395
25 1571395 405
26 1539336 381
27 1498548 365
28 1457500 343
29 1426729 340
30 1404696 333
31 1380559 353
32 1357299 352
33 1338822 389
34 1315255 392
35 1294669 436
36 1272136 484
37 1245504 492
38 1225052 537
39 1200357 574
40 1177784 615
41 1150011 643
42 1124150 673
43 1096106 699
44 1067491 717
45 1039415 741
46 1011209 765
47 981968 779
48 952180 787
49 921911 796
50 892934 813
51 863057 828
52 833150 841
53 802935 843
54 772830 849
55 742476 845
56 712401 849
57 682227 856
58 652033 859
59 621724 856
60 591483 860
61 561183 856
62 530958 863
63 500586 860
64 470326 863
65 440018 863
66 409761 865
67 379466 866
68 349155 866
69 318824 865
70 288532 866
71 258220 866
72 227908 866
73 197596 866
74 167283 866
75 136971 866
76 109134 866
77 85763 866
78 66407 866
79 50547 866
80 37791 866
81 27583 866
82 19623 866
83 13539 866
84 9015 863
85 5763 861
86 3452 851
87 1495 709
88 208 500
89 78 599
90 20 704
91 2 779
92 0 839
93 0 862
94 0 866
