Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 3 1
5 4 1
6 6 1
7 9 1
8 12 1
9 16 1
10 22 1
11 30 1
12 38 1
13 46 1
14 55 1
15 67 1
16 80 1
17 97 1
18 124 1
19 159 1
20 202 1
21 256 1
22 322 1
23 407 1
24 511 1
25 644 1
26 808 1
27 1013 1
28 1265 1
29 1572 1
30 1939 1
31 2383 1
32 2924 1
33 3566 1
34 4322 1
35 5194 1
36 6207 1
37 7390 1
38 8761 1
39 10375 1
40 12269 1
41 14480 1
42 17035 1
43 19976 1
44 23362 1
45 27272 1
46 31774 1
47 36886 1
48 42703 1
49 49321 1
50 56845 1
51 65373 1
52 75022 1
53 85917 1
54 98164 1
55 111891 1
56 127240 1
57 144315 1
58 163289 1
59 184299 1
60 207532 1
61 233138 1
62 261382 1
63 292453 1
64 326501 1
65 363709 1
66 404261 1
67 448467 1
68 496468 1
69 548536 1
70 604882 1
71 665777 1
72 731510 1
73 802234 1
74 878106 1
75 959421 1
76 1046446 1
77 1139257 1
78 1238173 1
79 1332909 2
80 1427131 6
81 1525560 7
82 1630647 5
83 1713863 12
84 1807230 16
85 1911495 22
86 2009165 28
87 2030463 46
88 2119990 53
89 2172650 60
90 2219329 87
91 2340874 70
92 2265717 95
93 2307044 143
94 2247967 492
95 2092122 473
96 1941337 456
97 1792052 531
98 1641590 487
99 1516212 491
100 1378306 511
101 1242529 468
102 1152565 530
103 1041585 514
104 945800 496
105 875148 523
106 806469 557
107 730252 545
108 681064 547
109 625334 538
110 572503 641
111 527571 658
112 478353 707
113 428238 672
114 389375 688
115 349011 708
116 316432 765
117 283226 769
118 251589 775
119 225861 806
120 200110 806
121 177121 828
122 156878 842
123 138337 851
124 121652 855
125 106694 860
126 93269 857
127 81560 858
128 71045 861
129 61685 866
130 53400 865
131 46113 865
132 39676 865
133 34035 865
134 29079 864
135 24803 864
136 21072 863
137 17846 863
138 15031 861
139 12604 861
140 10561 859
141 8824 861
142 7341 858
143 6105 853
144 5037 850
145 4102 847
146 3329 843
147 2649 831
148 2052 822
149 1504 800
150 1039 782
151 361 730
152 248 743
153 165 755
154 107 769
155 68 780
156 41 794
157 22 805
158 11 819
159 4 828
160 1 837
161 0 844
162 0 847
163 0 850
164 0 853
165 0 854
166 0 858
167 0 859
168 0 861
169 0 863
170 0 864
171 0 864
172 0 866
173 0 866
