Threshold = 88 | F-measure = 0.933803808879874 | clusters = 31 | cost = 87.6457824707031 | common = 220
Threshold = 89 | F-measure = 0.933803808879874 | clusters = 31 | cost = 102.645782470703 | common = 220
Threshold = 90 | F-measure = 0.933803808879874 | clusters = 31 | cost = 117.645782470703 | common = 220
Threshold = 91 | F-measure = 0.933803808879874 | clusters = 31 | cost = 132.645782470703 | common = 220
Threshold = 92 | F-measure = 0.933803808879874 | clusters = 31 | cost = 147.645782470703 | common = 220
Threshold = 93 | F-measure = 0.933803808879874 | clusters = 31 | cost = 162.645782470703 | common = 220
Threshold = 94 | F-measure = 0.905068176695966 | clusters = 32 | cost = 165.956283569336 | common = 215
Threshold = 95 | F-measure = 0.905068176695966 | clusters = 32 | cost = 157.132369995117 | common = 215
Threshold = 96 | F-measure = 0.905068176695966 | clusters = 32 | cost = 149.734436035156 | common = 215
Threshold = 97 | F-measure = 0.905068176695966 | clusters = 33 | cost = 140.303070068359 | common = 215
Threshold = 98 | F-measure = 0.908660130718954 | clusters = 34 | cost = 131.966567993164 | common = 216
Threshold = 99 | F-measure = 0.908660130718954 | clusters = 34 | cost = 127.471717834473 | common = 216
Threshold = 100 | F-measure = 0.908660130718954 | clusters = 34 | cost = 124.772750854492 | common = 216
Threshold = 101 | F-measure = 0.908660130718954 | clusters = 34 | cost = 123.471725463867 | common = 216
Threshold = 102 | F-measure = 0.908660130718954 | clusters = 34 | cost = 123.425964355469 | common = 216
Threshold = 103 | F-measure = 0.903918751408609 | clusters = 35 | cost = 124.271064758301 | common = 215
Threshold = 104 | F-measure = 0.903918751408609 | clusters = 35 | cost = 126.873123168945 | common = 215
Threshold = 105 | F-measure = 0.903918751408609 | clusters = 35 | cost = 133.207580566406 | common = 215
Threshold = 106 | F-measure = 0.903918751408609 | clusters = 35 | cost = 148.2744140625 | common = 215
Threshold = 107 | F-measure = 0.903918751408609 | clusters = 35 | cost = 170.483932495117 | common = 215
Threshold = 108 | F-measure = 0.903918751408609 | clusters = 35 | cost = 198.107177734375 | common = 215
Threshold = 109 | F-measure = 0.903918751408609 | clusters = 35 | cost = 235.16862487793 | common = 215
Threshold = 110 | F-measure = 0.885365528020304 | clusters = 36 | cost = 264.878112792969 | common = 212
Threshold = 111 | F-measure = 0.885365528020304 | clusters = 36 | cost = 305.006896972656 | common = 212
Threshold = 112 | F-measure = 0.885365528020304 | clusters = 36 | cost = 359.712768554688 | common = 212
Threshold = 113 | F-measure = 0.873876954125433 | clusters = 38 | cost = 426.985809326172 | common = 210
Threshold = 114 | F-measure = 0.873876954125433 | clusters = 38 | cost = 498.512145996094 | common = 210
Threshold = 115 | F-measure = 0.873876954125433 | clusters = 38 | cost = 580.344848632812 | common = 210
Threshold = 116 | F-measure = 0.873876954125433 | clusters = 38 | cost = 674.590759277344 | common = 210
Threshold = 117 | F-measure = 0.873876954125433 | clusters = 38 | cost = 787.713684082031 | common = 210
Threshold = 118 | F-measure = 0.873876954125433 | clusters = 38 | cost = 922.468811035156 | common = 210
Threshold = 119 | F-measure = 0.873876954125433 | clusters = 38 | cost = 1076.06555175781 | common = 210
Threshold = 120 | F-measure = 0.858471080507218 | clusters = 39 | cost = 1230.56726074219 | common = 207
Threshold = 121 | F-measure = 0.858471080507218 | clusters = 39 | cost = 1396.87719726562 | common = 207
Threshold = 122 | F-measure = 0.854110322289836 | clusters = 39 | cost = 1578.53381347656 | common = 206
