Threshold =  73  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  74  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  75  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  76  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  77  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  78  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  79  | F-measure =  0.945298061753437  | clusters =  30  | cost =  1.20412003993988
Threshold =  80  | F-measure =  0.945298061753437  | clusters =  30  | cost =  3.50515007972717
Threshold =  81  | F-measure =  0.945298061753437  | clusters =  30  | cost =  8.01029968261719
Threshold =  82  | F-measure =  0.945298061753437  | clusters =  30  | cost =  13.6123600006104
Threshold =  83  | F-measure =  0.945298061753437  | clusters =  30  | cost =  21.5154495239258
Threshold =  84  | F-measure =  0.945298061753437  | clusters =  30  | cost =  31.8676300048828
Threshold =  85  | F-measure =  0.933803808879874  | clusters =  31  | cost =  44.6915435791016
Threshold =  86  | F-measure =  0.933803808879874  | clusters =  31  | cost =  58.1686630249023
Threshold =  87  | F-measure =  0.933803808879874  | clusters =  31  | cost =  72.6457824707031
Threshold =  88  | F-measure =  0.933803808879874  | clusters =  31  | cost =  87.6457824707031
Threshold =  89  | F-measure =  0.933803808879874  | clusters =  31  | cost =  102.645782470703
Threshold =  90  | F-measure =  0.933803808879874  | clusters =  31  | cost =  117.645782470703
Threshold =  91  | F-measure =  0.933803808879874  | clusters =  31  | cost =  132.645782470703
Threshold =  92  | F-measure =  0.933803808879874  | clusters =  31  | cost =  147.645782470703
Threshold =  93  | F-measure =  0.933803808879874  | clusters =  31  | cost =  162.645782470703
Threshold =  94  | F-measure =  0.905068176695966  | clusters =  32  | cost =  165.956283569336
Threshold =  95  | F-measure =  0.905068176695966  | clusters =  32  | cost =  157.132369995117
Threshold =  96  | F-measure =  0.905068176695966  | clusters =  32  | cost =  149.734436035156
Threshold =  97  | F-measure =  0.905068176695966  | clusters =  33  | cost =  140.303070068359
Threshold =  98  | F-measure =  0.908660130718954  | clusters =  34  | cost =  131.966583251953
Threshold =  99  | F-measure =  0.908660130718954  | clusters =  34  | cost =  127.471717834473
Threshold =  100  | F-measure =  0.908660130718954  | clusters =  34  | cost =  124.772750854492
Threshold =  101  | F-measure =  0.908660130718954  | clusters =  34  | cost =  123.471725463867
Threshold =  102  | F-measure =  0.908660130718954  | clusters =  34  | cost =  123.425964355469
Threshold =  103  | F-measure =  0.903918751408609  | clusters =  35  | cost =  124.271064758301
Threshold =  104  | F-measure =  0.903918751408609  | clusters =  35  | cost =  126.873123168945
Threshold =  105  | F-measure =  0.903918751408609  | clusters =  35  | cost =  133.207580566406
Threshold =  106  | F-measure =  0.903918751408609  | clusters =  35  | cost =  148.2744140625
Threshold =  107  | F-measure =  0.903918751408609  | clusters =  35  | cost =  170.483932495117
Threshold =  108  | F-measure =  0.903918751408609  | clusters =  35  | cost =  198.107177734375
Threshold =  109  | F-measure =  0.903918751408609  | clusters =  35  | cost =  235.16862487793
Threshold =  110  | F-measure =  0.885365528020304  | clusters =  36  | cost =  264.878112792969
Threshold =  111  | F-measure =  0.885365528020304  | clusters =  36  | cost =  305.006896972656
Threshold =  112  | F-measure =  0.885365528020304  | clusters =  36  | cost =  359.712768554688
Threshold =  113  | F-measure =  0.873876954125433  | clusters =  38  | cost =  426.985809326172
Threshold =  114  | F-measure =  0.873876954125433  | clusters =  38  | cost =  498.512145996094
Threshold =  115  | F-measure =  0.873876954125433  | clusters =  38  | cost =  580.344848632812
Threshold =  116  | F-measure =  0.873876954125433  | clusters =  38  | cost =  674.590759277344
Threshold =  117  | F-measure =  0.873876954125433  | clusters =  38  | cost =  787.713684082031
Threshold =  118  | F-measure =  0.873876954125433  | clusters =  38  | cost =  922.468811035156
Threshold =  119  | F-measure =  0.873876954125433  | clusters =  38  | cost =  1076.06555175781
