Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1032699 1
4 1376932 1
5 1721165 1
6 2065398 1
7 2409631 1
8 2305038 102
9 2839488 215
10 2213455 59
11 2355705 75
12 2457174 76
13 2550998 68
14 2466882 104
15 2532627 115
16 2584071 98
17 2712454 177
18 2648737 121
19 2528636 208
20 2446422 192
21 2569210 284
22 2481548 248
23 2505268 284
24 2442943 199
25 2430261 248
26 2374994 252
27 2369617 261
28 2328948 277
29 2300833 275
30 2288602 282
31 2227620 257
32 2194228 246
33 2164072 259
34 2106410 239
35 2080722 239
36 2086273 267
37 2059137 282
38 2052978 294
39 2027300 304
40 2003347 295
41 1993916 339
42 1991461 374
43 1989308 413
44 1980085 444
45 1984907 494
46 1978176 534
47 1958120 570
48 1937777 614
49 1922422 655
50 1896931 680
51 1878810 701
52 1851952 724
53 1826872 751
54 1799155 772
55 1771390 789
56 1742443 799
57 1713760 809
58 1684807 814
59 1655194 820
60 1625654 827
61 1595764 835
62 1565658 838
63 1535545 841
64 1505590 846
65 1475428 848
66 1445137 848
67 1414978 850
68 1384844 853
69 1354648 854
70 1324508 857
71 1294300 859
72 1264039 860
73 1233781 861
74 1203516 862
75 1173208 862
76 1142901 862
77 1112603 862
78 1082346 863
79 1051997 862
80 1021698 862
81 991416 863
82 960859 857
83 930519 856
84 900449 862
85 870247 863
86 839980 864
87 809672 864
88 779385 865
89 749040 864
90 718737 864
91 688427 864
92 658153 865
93 627855 865
94 597564 866
95 567238 865
96 536939 866
97 506627 866
98 476315 866
99 446004 866
100 415691 866
101 385366 865
102 355067 866
103 324755 866
104 294443 866
105 264130 866
106 233818 866
107 203507 866
108 174527 866
109 148780 866
110 126068 866
111 106108 866
112 88623 866
113 73455 866
114 60332 866
115 49120 866
116 39606 866
117 31568 866
118 24847 866
119 19296 866
120 14798 864
121 11193 864
122 8308 862
123 6034 858
124 4247 842
125 2634 781
126 897 578
127 278 550
128 133 607
129 56 668
130 19 735
131 4 774
132 1 807
133 0 836
134 1 856
135 0 861
136 0 865
137 0 866
