Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6833.80859375
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7375.02734375
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7945.392578125
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8549.94921875
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9196.1337890625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9892.4189453125
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10630.9765625
Threshold = 74 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11422.0771484375
Threshold = 75 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12270.8671875
Threshold = 76 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13166.3095703125
Threshold = 77 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14116.078125
Threshold = 78 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 15120.0498046875
Threshold = 79 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 16183.6923828125
Threshold = 80 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17319.017578125
Threshold = 81 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18520.779296875
Threshold = 82 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 19775.185546875
Threshold = 83 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21092.931640625
Threshold = 84 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 22489.58203125
Threshold = 85 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 23961.9375
Threshold = 86 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25528.736328125
Threshold = 87 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 27177.89453125
Threshold = 88 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 28904.0625
Threshold = 89 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 30722.779296875
Threshold = 90 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 32640.8203125
Threshold = 91 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 34664.6171875
Threshold = 92 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 36785.95703125
Threshold = 93 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 39001.6484375
Threshold = 94 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 41336.15234375
Threshold = 95 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 43774.3359375
Threshold = 96 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 46328.69921875
Threshold = 97 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 49010.41796875
Threshold = 98 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 51827.3984375
Threshold = 99 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 54768.1953125
Threshold = 100 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 57857.14453125
Threshold = 101 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 61081.765625
Threshold = 102 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 64467.10546875
Threshold = 103 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 68008.390625
Threshold = 104 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 71703.9375
Threshold = 105 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 75561.296875
Threshold = 106 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 79578.7265625
Threshold = 107 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 83789.171875
Threshold = 108 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 88182.8125
Threshold = 109 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 92777.3984375
Threshold = 110 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 97549.203125
Threshold = 111 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 102506.6328125
Threshold = 112 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 107662.296875
Threshold = 113 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 113019.1640625
Threshold = 114 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 118585.4296875
Threshold = 115 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 124366.0625
Threshold = 116 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 130364.4921875
Threshold = 117 | F-measure = 0.2578394 | clusters = 2 | common = 99 | cost = 134671.921875
Threshold = 118 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 139327.5
Threshold = 119 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 149658.5
Threshold = 120 | F-measure = 0.2530845 | clusters = 6 | common = 96 | cost = 147542.46875
Threshold = 121 | F-measure = 0.2578394 | clusters = 2 | common = 99 | cost = 160805.71875
Threshold = 122 | F-measure = 0.2549411 | clusters = 5 | common = 97 | cost = 161701.34375
Threshold = 123 | F-measure = 0.2555268 | clusters = 6 | common = 96 | cost = 172856.078125
Threshold = 124 | F-measure = 0.2606883 | clusters = 5 | common = 98 | cost = 177236.53125
Threshold = 125 | F-measure = 0.2530845 | clusters = 6 | common = 96 | cost = 179649.140625
Threshold = 126 | F-measure = 0.2549411 | clusters = 4 | common = 97 | cost = 189298.015625
Threshold = 127 | F-measure = 0.2560613 | clusters = 8 | common = 96 | cost = 185603.53125
Threshold = 128 | F-measure = 0.2728455 | clusters = 5 | common = 101 | cost = 198236.859375
Threshold = 129 | F-measure = 0.2685676 | clusters = 7 | common = 100 | cost = 212112.59375
Threshold = 130 | F-measure = 0.2662761 | clusters = 10 | common = 98 | cost = 208319.203125
Threshold = 131 | F-measure = 0.2658046 | clusters = 14 | common = 95 | cost = 215093.796875
Threshold = 132 | F-measure = 0.2556345 | clusters = 11 | common = 94 | cost = 222948.046875
Threshold = 133 | F-measure = 0.2704674 | clusters = 12 | common = 98 | cost = 220839.015625
Threshold = 134 | F-measure = 0.274518 | clusters = 19 | common = 96 | cost = 228830.90625
Threshold = 135 | F-measure = 0.2615858 | clusters = 17 | common = 93 | cost = 237071.703125
Threshold = 136 | F-measure = 0.268078 | clusters = 16 | common = 96 | cost = 238966.953125
Threshold = 137 | F-measure = 0.2681135 | clusters = 19 | common = 94 | cost = 245543.625
Threshold = 138 | F-measure = 0.2827933 | clusters = 31 | common = 91 | cost = 231994.421875
Threshold = 139 | F-measure = 0.2837821 | clusters = 30 | common = 93 | cost = 244750.234375
