Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3.30029988288879
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6.30030012130737
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9.30030059814453
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12.9594192504883
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18.7387809753418
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25.3878307342529
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 32.3878288269043
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 39.3878288269043
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 46.6226196289062
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 57.1179809570312
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 70.9458465576172
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 86.8289413452148
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 102.886070251465
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 119.886070251465
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 137.41975402832
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 155.41975402832
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 174.282516479492
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 194.747985839844
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 217.935562133789
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 242.178573608398
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 268.633636474609
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 300.365325927734
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 338.014495849609
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 383.173645019531
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 432.942230224609
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 486.866333007812
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 546.105102539062
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 615.8544921875
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 691.494079589844
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 775.158508300781
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 871.57470703125
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 978.692321777344
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1099.49755859375
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1234.61987304688
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1380.94616699219
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1541.24450683594
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1717.44995117188
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1912.32739257812
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2120.9345703125
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2343.79858398438
Threshold = 43 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2590.21801757812
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2866.349609375
Threshold = 45 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3168.21142578125
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3500.0849609375
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3866.4296875
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4268.6103515625
Threshold = 49 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4705.03515625
Threshold = 50 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5178.75830078125
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5691.20751953125
Threshold = 52 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6238.31494140625
Threshold = 53 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6827.35986328125
Threshold = 54 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7460.05712890625
Threshold = 55 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8143.626953125
Threshold = 56 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8886.240234375
Threshold = 57 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9689.3935546875
Threshold = 58 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10545.966796875
Threshold = 59 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11466.435546875
Threshold = 60 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12454.556640625
Threshold = 61 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13525.6572265625
Threshold = 62 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14665.587890625
Threshold = 63 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 15868.015625
Threshold = 64 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17151.73828125
Threshold = 65 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18522.28515625
Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 19986.662109375
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21544.3828125
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 23199.724609375
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 24959.611328125
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 26820.05859375
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 28795.90625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 30891.96875
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 33123.14453125
