Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6.19842004776001
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8.19841957092285
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10.1984195709229
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12.1984195709229
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14.1984195709229
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 16.1984195709229
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18.1984195709229
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21.0218887329102
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25.4952182769775
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 30.6431274414062
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 37.1112327575684
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 44.6006813049316
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 53.0360412597656
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 62.798469543457
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 73.1132507324219
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 84.1132507324219
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 95.1132507324219
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 106.113250732422
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 117.113250732422
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 128.113250732422
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 139.601303100586
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 153.872863769531
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 169.594421386719
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 185.938980102539
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 205.908279418945
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 230.035400390625
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 257.919036865234
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 286.676940917969
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 316.555694580078
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 349.456817626953
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 386.934906005859
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 426.046752929688
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 468.135070800781
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 515.753601074219
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 568.197875976562
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 629.413513183594
Threshold = 43 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 694.126220703125
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 765.512939453125
Threshold = 45 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 842.97265625
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 925.530395507812
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1016.279296875
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1116.67663574219
Threshold = 49 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1223.82531738281
Threshold = 50 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1338.7080078125
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1462.88049316406
Threshold = 52 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1595.5712890625
Threshold = 53 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1733.74560546875
Threshold = 54 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1885.43640136719
Threshold = 55 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2050.14599609375
Threshold = 56 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2230.67919921875
Threshold = 57 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2428.82080078125
Threshold = 58 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2642.28344726562
Threshold = 59 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2876.69946289062
Threshold = 60 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3133.57958984375
Threshold = 61 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3411.46435546875
Threshold = 62 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3706.05102539062
Threshold = 63 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4022.86791992188
Threshold = 64 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4369.8310546875
Threshold = 65 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4747.14306640625
Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5164.65673828125
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5614.625
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6097.6884765625
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6617.8291015625
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7178.783203125
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7796.15869140625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8457.98828125
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9165.3291015625
Threshold = 74 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9923.0810546875
