Threshold Cost Clusters
-1 0 1
0 0 1
1 343856 2
2 687224 2
3 1022630 6
4 1355032 9
5 1679998 12
6 2010135 13
7 2321148 19
8 2591658 35
9 2813150 42
10 2977836 71
11 3158402 98
12 3351038 413
13 3320242 404
14 3291655 385
15 3269263 418
16 3238963 449
17 3210645 458
18 3181749 508
19 3152501 558
20 3117245 466
21 3083138 482
22 3049391 515
23 3017520 431
24 2988404 481
25 2965154 453
26 2924794 549
27 2896078 516
28 2871170 549
29 2831758 572
30 2813292 590
31 2781141 566
32 2742674 567
33 2720757 606
34 2682274 563
35 2660851 607
36 2623932 575
37 2584139 503
38 2553849 588
39 2531067 610
40 2497598 583
41 2468167 592
42 2436137 585
43 2416423 576
44 2385208 625
45 2350533 613
46 2327854 635
47 2293703 634
48 2265744 637
49 2226132 612
50 2202232 647
51 2174265 668
52 2140553 638
53 2111097 658
54 2083244 663
55 2053291 665
56 2024195 677
57 1994081 683
58 1964091 702
59 1935703 709
60 1906871 698
61 1877919 726
62 1847347 737
63 1817036 665
64 1787491 745
65 1757412 729
66 1727601 743
67 1697778 746
68 1668163 750
69 1638243 726
70 1608310 801
71 1578270 804
72 1548442 834
73 1518413 843
74 1488148 861
75 1457874 857
76 1427656 854
77 1397202 856
78 1366883 851
79 1336582 829
80 1306384 828
81 1275945 836
82 1245412 836
83 1215234 838
84 1185011 848
85 1154585 849
86 1124328 845
87 1094112 852
88 1063815 852
89 1033369 852
90 1003047 849
91 972833 852
92 942457 858
93 912172 858
94 881947 860
95 851763 860
96 821506 862
97 791103 859
98 760778 862
99 730524 864
100 700150 862
101 669825 861
102 639555 863
103 609334 866
104 578978 865
105 548631 864
106 518352 865
107 488070 865
108 457760 865
109 427438 865
110 397118 864
111 366825 864
112 336527 866
113 306215 866
114 275903 866
115 245591 866
116 216737 866
117 190729 866
118 167419 866
119 146533 866
120 127874 866
121 111245 866
122 96478 866
123 83454 866
124 71930 866
125 61804 866
126 52934 866
127 45200 866
128 38450 866
129 32647 866
130 27632 865
131 23307 865
132 19573 865
133 16373 864
134 13661 865
135 11302 860
136 9325 859
137 7647 856
138 6186 851
139 4963 843
140 3880 824
141 3050 810
142 2331 803
143 1820 802
144 1288 782
145 820 767
146 321 734
147 229 749
148 159 771
149 108 785
150 70 794
151 46 800
152 31 812
153 22 822
154 13 831
155 7 839
156 3 844
157 1 849
158 0 854
159 0 856
160 0 857
161 0 861
162 0 862
163 0 862
164 0 863
165 0 865
166 0 865
167 0 866
168 0 866
