Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 687206 2
3 1028567 3
4 1356351 9
5 1678182 14
6 1985513 19
7 2287244 25
8 2610182 43
9 2851652 49
10 3026136 79
11 3172366 93
12 3213771 271
13 3217786 428
14 3177452 434
15 3146653 424
16 3105143 410
17 3067483 412
18 3031738 375
19 2997521 409
20 2949469 388
21 2940885 409
22 2912496 445
23 2893372 515
24 2867261 491
25 2838641 499
26 2808226 467
27 2773730 487
28 2752045 517
29 2706660 516
30 2686037 564
31 2656044 545
32 2618544 510
33 2580964 504
34 2571871 562
35 2530514 515
36 2505283 549
37 2480728 564
38 2451473 598
39 2420121 596
40 2383986 572
41 2352148 552
42 2327463 574
43 2293371 548
44 2271471 619
45 2241734 618
46 2207583 608
47 2179572 620
48 2148564 643
49 2117214 629
50 2087132 649
51 2057788 610
52 2031834 652
53 1999435 625
54 1969369 645
55 1941299 660
56 1912805 675
57 1881196 630
58 1853052 668
59 1823028 672
60 1793617 672
61 1764124 693
62 1734418 701
63 1703422 708
64 1673759 731
65 1643919 726
66 1611491 708
67 1582919 731
68 1553666 748
69 1523658 769
70 1493628 766
71 1463389 776
72 1433786 782
73 1403782 792
74 1372989 793
75 1343184 810
76 1313198 814
77 1283670 824
78 1253847 829
79 1223768 833
80 1193482 846
81 1163148 844
82 1132980 850
83 1102715 850
84 1072537 856
85 1042242 857
86 1011944 862
87 981691 861
88 951319 859
89 920940 854
90 890767 855
91 860257 855
92 830110 862
93 799860 864
94 769539 863
95 739273 865
96 708934 864
97 678676 866
98 648337 865
99 617977 863
100 587689 864
101 557389 864
102 527044 863
103 496784 865
104 466433 864
105 436063 864
106 405754 864
107 375446 864
108 345121 863
109 314917 865
110 284621 866
111 254294 865
112 225228 866
113 199043 866
114 175416 866
115 154167 866
116 135156 866
117 118161 866
118 103003 866
119 89514 866
120 77538 866
121 66974 866
122 57679 866
123 49456 866
124 42243 865
125 35952 865
126 30493 865
127 25793 864
128 21737 863
129 18236 862
130 15181 859
131 12583 860
132 10395 861
133 8509 854
134 6938 852
135 5623 848
136 4484 836
137 3538 828
138 2777 820
139 2135 805
140 1511 789
141 1057 770
142 672 760
143 245 730
144 163 746
145 109 766
146 70 781
147 43 796
148 27 811
149 16 817
150 9 836
151 5 840
152 1 845
153 1 853
154 2 855
155 1 860
156 0 861
157 0 862
158 0 863
159 0 865
160 0 865
161 0 865
162 0 865
163 0 865
164 0 866
165 0 866
