Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1032699 1
4 1376932 1
5 1721165 1
6 2065398 1
7 2406915 2
8 2189786 95
9 2128271 70
10 2252285 89
11 2240066 65
12 2383291 60
13 2378001 80
14 2556052 102
15 2545368 182
16 2609481 68
17 2516848 151
18 2487714 137
19 2493972 261
20 2376264 209
21 2363106 216
22 2478376 313
23 2486021 222
24 2426442 340
25 2428668 227
26 2239436 281
27 2243943 305
28 2312282 346
29 2329629 375
30 2327487 396
31 2290846 402
32 2245790 402
33 2196991 383
34 2137910 361
35 2132335 328
36 2093603 384
37 2079574 390
38 2055380 390
39 2035792 392
40 2019807 399
41 2004110 405
42 1993573 411
43 1974188 438
44 1952966 442
45 1939819 452
46 1928635 476
47 1923281 504
48 1901734 514
49 1877192 529
50 1838877 548
51 1817672 574
52 1795593 595
53 1778547 616
54 1751001 639
55 1725406 660
56 1712909 678
57 1684485 687
58 1660647 700
59 1637611 713
60 1613790 729
61 1586334 740
62 1565106 757
63 1538788 773
64 1513938 780
65 1484353 786
66 1455174 794
67 1426288 800
68 1396922 807
69 1368434 813
70 1339825 816
71 1309852 820
72 1279879 824
73 1249795 827
74 1219676 828
75 1191234 828
76 1161000 826
77 1131189 832
78 1100999 833
79 1071499 834
80 1041171 834
81 1011509 841
82 981458 849
83 951086 847
84 920692 845
85 890501 848
86 860367 851
87 830172 850
88 800113 857
89 769880 859
90 739690 862
91 709488 864
92 679226 866
93 648881 865
94 618571 865
95 588261 865
96 557945 864
97 527667 866
98 497354 866
99 467042 866
100 436730 866
101 406418 866
102 376106 866
103 345794 866
104 315470 865
105 285169 866
106 254857 866
107 224545 866
108 194388 866
109 166683 866
110 142032 866
111 120175 866
112 100945 866
113 84155 866
114 69622 866
115 57108 866
116 46361 866
117 37239 866
118 29558 866
119 23132 866
120 17850 866
121 13568 866
122 10162 866
123 7483 866
124 5357 856
125 3698 838
126 2343 793
127 433 516
128 220 582
129 96 635
130 41 692
131 12 749
132 5 790
133 1 822
134 0 846
135 0 858
136 0 862
137 0 866
138 0 866
