Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1030812 2
4 1366459 5
5 1688720 11
6 1994664 17
7 2290046 26
8 2574043 40
9 2841759 44
10 3124072 52
11 3340474 64
12 3511067 91
13 3721830 87
14 3836898 456
15 3812971 512
16 3783492 561
17 3752725 483
18 3711460 406
19 3690588 455
20 3658090 470
21 3631966 499
22 3586267 391
23 3573093 523
24 3539777 501
25 3507456 476
26 3456721 441
27 3446132 518
28 3422183 617
29 3378044 473
30 3353700 576
31 3307584 485
32 3282148 477
33 3246743 533
34 3220670 471
35 3193044 518
36 3163472 529
37 3115405 527
38 3080318 520
39 3054873 514
40 3029516 520
41 3007487 588
42 2970003 562
43 2923279 536
44 2904819 553
45 2892451 560
46 2860651 609
47 2822874 587
48 2790490 592
49 2761142 599
50 2736399 611
51 2704436 591
52 2673258 595
53 2649726 629
54 2619428 656
55 2592664 651
56 2565503 652
57 2532824 625
58 2505186 635
59 2476721 677
60 2444498 696
61 2413386 679
62 2384488 670
63 2355546 667
64 2324566 655
65 2297010 670
66 2268024 678
67 2241179 737
68 2212208 758
69 2182478 745
70 2152936 768
71 2122647 792
72 2092961 785
73 2062628 789
74 2032526 779
75 2001869 765
76 1971075 769
77 1940456 742
78 1909713 749
79 1880610 803
80 1849923 782
81 1819695 777
82 1790210 793
83 1760147 809
84 1729535 801
85 1699060 793
86 1668843 791
87 1638506 787
88 1607666 777
89 1578388 820
90 1548490 827
91 1518255 820
92 1488122 824
93 1458149 816
94 1427936 818
95 1397808 827
96 1367648 853
97 1337263 838
98 1306747 840
99 1276577 847
100 1246463 843
101 1215951 845
102 1185676 858
103 1155093 848
104 1125065 854
105 1094762 854
106 1064528 856
107 1034254 861
108 1004007 862
109 973676 862
110 943555 866
111 913242 866
112 882886 865
113 852602 861
114 822265 865
115 791929 864
116 761572 862
117 731369 866
118 700989 864
119 670708 865
120 640363 864
121 610022 863
122 579676 862
123 549435 864
124 519156 865
125 488845 865
126 458532 865
127 428221 865
128 397933 866
129 367621 866
130 337309 866
131 306997 866
132 276688 865
133 248084 866
134 221961 866
135 198190 866
136 176497 866
137 156817 866
138 139024 866
139 122978 866
140 108515 866
141 95522 866
142 83880 866
143 73464 866
144 64172 866
145 55926 866
146 48587 866
147 42090 866
148 36400 866
149 31418 866
150 27073 866
151 23285 866
152 19959 865
153 17047 865
154 14492 863
155 12285 861
156 10387 860
157 8727 857
158 7347 857
159 6120 855
160 5033 848
161 4130 842
162 3356 835
163 2596 817
164 2047 814
165 1522 800
166 1207 801
167 825 786
168 563 784
169 242 770
170 183 783
171 139 793
172 103 801
173 74 811
174 53 819
175 37 826
176 24 830
177 17 836
178 12 837
179 8 841
180 5 846
181 3 852
182 2 853
183 1 854
184 0 855
185 0 857
186 0 859
187 0 862
188 0 863
189 0 864
190 0 865
191 0 865
192 0 865
193 0 865
194 0 865
195 0 865
196 0 865
197 0 865
198 0 865
199 0 865
200 0 865
201 0 866
202 0 866
