Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1030673 2
4 1371510 3
5 1710830 4
6 2000191 14
7 2299603 20
8 2580000 27
9 2861248 48
10 3047669 57
11 3140869 341
12 3106298 359
13 3077160 379
14 3036317 356
15 3009138 346
16 2977244 375
17 2929522 400
18 2918508 379
19 2874784 415
20 2855384 437
21 2818476 446
22 2799084 475
23 2736428 413
24 2684409 371
25 2667595 427
26 2632246 421
27 2605368 444
28 2549841 412
29 2532259 441
30 2528303 458
31 2494304 430
32 2467728 444
33 2440616 475
34 2422717 548
35 2386240 483
36 2364575 499
37 2323130 465
38 2300906 476
39 2272172 504
40 2235594 486
41 2224133 496
42 2199637 540
43 2162218 530
44 2133486 538
45 2106932 558
46 2084138 606
47 2048402 569
48 2025576 610
49 1989324 581
50 1962180 584
51 1938514 610
52 1909225 629
53 1880096 657
54 1852653 697
55 1823426 697
56 1794393 723
57 1765604 738
58 1735475 753
59 1705357 774
60 1675422 792
61 1645239 799
62 1615006 804
63 1584558 813
64 1554718 814
65 1525180 825
66 1495406 829
67 1464977 836
68 1434483 833
69 1404238 841
70 1374253 846
71 1344087 850
72 1314048 850
73 1283902 855
74 1253694 859
75 1223214 854
76 1192904 859
77 1162538 860
78 1132334 862
79 1102140 861
80 1071650 860
81 1041392 862
82 1011138 863
83 980857 864
84 950633 863
85 920240 864
86 889994 862
87 859713 861
88 829415 866
89 799071 865
90 768754 865
91 738444 865
92 708075 863
93 677771 863
94 647443 863
95 617133 863
96 586815 862
97 556489 862
98 526258 865
99 495947 865
100 465636 865
101 435326 865
102 405050 866
103 374738 866
104 344426 866
105 314114 866
106 283802 866
107 253490 866
108 223692 866
109 196542 866
110 172107 865
111 150233 866
112 130686 866
113 113297 866
114 97907 866
115 84305 866
116 72329 866
117 61817 866
118 52627 866
119 44605 866
120 37650 866
121 31690 866
122 26579 866
123 22188 866
124 18463 865
125 15310 864
126 12630 864
127 10340 862
128 8416 858
129 6779 855
130 5399 847
131 4236 835
132 3223 815
133 2287 780
134 1326 725
135 921 727
136 345 680
137 231 706
138 145 724
139 95 743
140 60 760
141 34 780
142 16 800
143 6 813
144 1 821
145 0 836
146 0 839
147 0 848
148 0 851
149 0 860
150 0 863
151 0 864
152 0 864
153 0 866
154 0 866
