Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1021564 7
4 1350526 11
5 1679874 13
6 1990799 19
7 2289330 26
8 2560422 36
9 2815634 45
10 3033224 79
11 3220278 76
12 3389297 90
13 3554842 437
14 3529311 570
15 3496822 459
16 3465077 455
17 3431704 481
18 3403085 415
19 3376507 453
20 3351382 622
21 3317847 518
22 3289046 432
23 3260493 722
24 3229129 648
25 3193820 547
26 3167424 564
27 3138396 604
28 3107509 533
29 3074203 571
30 3042852 586
31 3013838 594
32 2985059 569
33 2943065 523
34 2918944 552
35 2895484 722
36 2855306 599
37 2831523 642
38 2801636 629
39 2773488 650
40 2735445 612
41 2710398 603
42 2678910 667
43 2650550 645
44 2622256 655
45 2587411 629
46 2560292 648
47 2525434 625
48 2495330 664
49 2468530 656
50 2440976 641
51 2408964 671
52 2376918 656
53 2349254 659
54 2317854 675
55 2289318 666
56 2260329 727
57 2228580 717
58 2198079 729
59 2168076 719
60 2138143 758
61 2108137 761
62 2078257 757
63 2048324 807
64 2018308 816
65 1987842 787
66 1957589 791
67 1927390 787
68 1896699 794
69 1866311 792
70 1836456 823
71 1806052 826
72 1775258 781
73 1745128 750
74 1714397 802
75 1684438 798
76 1653823 785
77 1623236 786
78 1593056 794
79 1562481 766
80 1532483 775
81 1502802 783
82 1472747 800
83 1442694 794
84 1412447 799
85 1382221 826
86 1352048 819
87 1321682 854
88 1291488 856
89 1261258 858
90 1231039 823
91 1200729 831
92 1170521 863
93 1140217 863
94 1109977 865
95 1079666 865
96 1049093 840
97 1018890 841
98 988470 858
99 958189 858
100 928023 863
101 897562 859
102 867439 853
103 837152 856
104 806756 857
105 776534 864
106 746162 858
107 715768 859
108 685497 860
109 655153 860
110 624930 863
111 594687 865
112 564373 865
113 534047 864
114 503752 865
115 473442 865
116 443131 865
117 412820 865
118 382520 866
119 352198 865
120 321897 866
121 291584 866
122 261296 866
123 232762 866
124 206898 866
125 183505 866
126 162454 866
127 143517 866
128 126490 866
129 111250 866
130 97597 866
131 85402 866
132 74568 866
133 64964 866
134 56459 866
135 48908 866
136 42239 866
137 36376 866
138 31259 866
139 26805 866
140 22928 866
141 19564 866
142 16612 865
143 14073 864
144 11886 861
145 10027 861
146 8401 857
147 7026 857
148 5838 853
149 4839 853
150 3942 847
151 3180 838
152 2545 831
153 1970 813
154 1455 796
155 997 780
156 397 744
157 283 750
158 196 764
159 137 778
160 95 794
161 66 801
162 45 807
163 30 824
164 18 830
165 11 835
166 6 837
167 4 842
168 3 852
169 2 856
170 1 858
171 0 860
172 0 860
173 0 861
174 0 862
175 0 863
176 0 863
177 0 863
178 0 863
179 0 863
180 0 864
181 0 865
182 0 865
183 0 865
184 0 865
185 0 866
186 0 866
