Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 108 | Cost = 2129969.25 | Clusters = 140
Threshold = 109 | Cost = 2005302.5 | Clusters = 177
Threshold = 110 | Cost = 1921048.125 | Clusters = 197
Threshold = 111 | Cost = 1832822.625 | Clusters = 227
Threshold = 112 | Cost = 1714414.125 | Clusters = 381
Threshold = 113 | Cost = 1561399.25 | Clusters = 398
Threshold = 114 | Cost = 1455292.25 | Clusters = 492
Threshold = 115 | Cost = 1308774.875 | Clusters = 426
Threshold = 116 | Cost = 1202880.25 | Clusters = 491
Threshold = 117 | Cost = 1117182.375 | Clusters = 563
Threshold = 118 | Cost = 1015274.4375 | Clusters = 546
Threshold = 119 | Cost = 934211.5625 | Clusters = 573
Threshold = 120 | Cost = 860345.6875 | Clusters = 593
Threshold = 121 | Cost = 792689.4375 | Clusters = 633
Threshold = 122 | Cost = 727043.625 | Clusters = 635
Threshold = 123 | Cost = 671752.4375 | Clusters = 625
Threshold = 124 | Cost = 612418.5625 | Clusters = 676
Threshold = 125 | Cost = 565481.0625 | Clusters = 700
Threshold = 126 | Cost = 514406.84375 | Clusters = 707
Threshold = 127 | Cost = 467939.21875 | Clusters = 704
Threshold = 128 | Cost = 424429.0625 | Clusters = 742
Threshold = 129 | Cost = 383743.59375 | Clusters = 738
Threshold = 130 | Cost = 344207.25 | Clusters = 742
Threshold = 131 | Cost = 312023.0625 | Clusters = 768
Threshold = 132 | Cost = 277747.21875 | Clusters = 777
Threshold = 133 | Cost = 250005.625 | Clusters = 786
Threshold = 134 | Cost = 222773.953125 | Clusters = 778
Threshold = 135 | Cost = 198860.109375 | Clusters = 793
Threshold = 136 | Cost = 176639.859375 | Clusters = 831
Threshold = 137 | Cost = 156283.765625 | Clusters = 818
Threshold = 138 | Cost = 138296.015625 | Clusters = 839
Threshold = 139 | Cost = 121852.734375 | Clusters = 838
Threshold = 140 | Cost = 107524.7890625 | Clusters = 856
Threshold = 141 | Cost = 94393.8671875 | Clusters = 845
Threshold = 142 | Cost = 82765.484375 | Clusters = 852
Threshold = 143 | Cost = 72345.0859375 | Clusters = 862
Threshold = 144 | Cost = 63060.55078125 | Clusters = 865
Threshold = 145 | Cost = 54812.76171875 | Clusters = 864
Threshold = 146 | Cost = 47547.76171875 | Clusters = 865
Threshold = 147 | Cost = 41140.0078125 | Clusters = 865
Threshold = 148 | Cost = 35520.875 | Clusters = 864
Threshold = 149 | Cost = 30585.6171875 | Clusters = 863
Threshold = 150 | Cost = 26316.232421875 | Clusters = 864
Threshold = 151 | Cost = 22583.880859375 | Clusters = 864
Threshold = 152 | Cost = 19312.509765625 | Clusters = 865
Threshold = 153 | Cost = 16458.87890625 | Clusters = 865
Threshold = 154 | Cost = 13970.9072265625 | Clusters = 862
Threshold = 155 | Cost = 11844.5458984375 | Clusters = 863
Threshold = 156 | Cost = 9981.16796875 | Clusters = 861
Threshold = 157 | Cost = 8356.79296875 | Clusters = 858
Threshold = 158 | Cost = 6944.57568359375 | Clusters = 852
Threshold = 159 | Cost = 5778.21728515625 | Clusters = 849
Threshold = 160 | Cost = 4776.60888671875 | Clusters = 849
Threshold = 161 | Cost = 3895.26831054688 | Clusters = 839
Threshold = 162 | Cost = 3225.97973632812 | Clusters = 837
Threshold = 163 | Cost = 2657.00610351562 | Clusters = 835
Threshold = 164 | Cost = 2101.99145507812 | Clusters = 826
Threshold = 165 | Cost = 1690.515625 | Clusters = 823
Threshold = 166 | Cost = 1332.2626953125 | Clusters = 818
Threshold = 167 | Cost = 888.45703125 | Clusters = 795
Threshold = 168 | Cost = 678.342590332031 | Clusters = 800
Threshold = 169 | Cost = 282.846893310547 | Clusters = 777
Threshold = 170 | Cost = 201.439544677734 | Clusters = 783
Threshold = 171 | Cost = 145.941741943359 | Clusters = 793
Threshold = 172 | Cost = 106.560447692871 | Clusters = 805
Threshold = 173 | Cost = 78.2343215942383 | Clusters = 819
Threshold = 174 | Cost = 55.6481246948242 | Clusters = 825
Threshold = 175 | Cost = 38.4598808288574 | Clusters = 834
Threshold = 176 | Cost = 25.9514293670654 | Clusters = 836
Threshold = 177 | Cost = 17.7456703186035 | Clusters = 840
Threshold = 178 | Cost = 11.8861999511719 | Clusters = 844
Threshold = 179 | Cost = 8.23377990722656 | Clusters = 848
Threshold = 180 | Cost = 5.23377990722656 | Clusters = 851
Threshold = 181 | Cost = 3.14328002929688 | Clusters = 852
Threshold = 182 | Cost = 1.44642996788025 | Clusters = 852
Threshold = 183 | Cost = 0.446429997682571 | Clusters = 856
Threshold = 184 | Cost = 0 | Clusters = 857
