Threshold Cost Clusters
-1 0 1
0 0 1
1 345549 1
2 693046 1
3 1041902 1
4 1189462 80
5 1192759 59
6 1178796 75
7 1216481 72
8 1268397 85
9 1279780 189
10 1261549 135
11 1308689 211
12 1306542 215
13 1311875 305
14 1254618 250
15 1199574 173
16 1252741 275
17 1220273 217
18 1231302 209
19 1240934 270
20 1250580 294
21 1298337 352
22 1242764 275
23 1346853 411
24 1260851 293
25 1284655 352
26 1327451 426
27 1328304 427
28 1306290 436
29 1317397 459
30 1306571 460
31 1310474 474
32 1316405 511
33 1309834 524
34 1330110 586
35 1292123 543
36 1307654 595
37 1294598 586
38 1279413 577
39 1227271 502
40 1250874 566
41 1245318 573
42 1239508 596
43 1251980 652
44 1214750 614
45 1239160 661
46 1178318 613
47 1166644 601
48 1178294 655
49 1161777 663
50 1157936 705
51 1146482 717
52 1140404 704
53 1110473 688
54 1110910 693
55 1108032 732
56 1105658 752
57 1100141 788
58 1078257 768
59 1058151 739
60 1050500 771
61 1034541 765
62 1028577 780
63 1013012 792
64 1004634 796
65 987917 805
66 966360 779
67 968970 811
68 950544 816
69 936679 817
70 920127 801
71 909124 817
72 899403 824
73 883151 824
74 874123 837
75 860236 837
76 843067 824
77 830293 827
78 815262 829
79 806588 842
80 787578 835
81 780351 846
82 768122 855
83 753107 854
84 740791 855
85 727647 857
86 713347 856
87 700534 856
88 686252 856
89 673115 857
90 659841 856
91 647865 858
92 635159 859
93 621704 858
94 608580 858
95 596137 862
96 583009 862
97 570315 863
98 556080 860
99 543212 858
100 531128 863
101 518305 865
102 505262 865
103 492325 865
104 479477 866
105 466619 866
106 453829 866
107 441114 866
108 428478 866
109 415936 866
110 403492 866
111 391145 866
112 378903 866
113 366763 866
114 354709 866
115 342725 866
116 330822 866
117 319028 866
118 307334 866
119 295731 866
120 284248 866
121 272870 866
122 261594 866
123 250430 866
124 239376 866
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176127 866
131 166209 866
132 156526 866
133 147099 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69776 865
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38068 866
154 35463 866
155 32955 866
156 30550 866
157 28176 864
158 25904 864
159 23691 864
160 21553 864
161 19477 864
162 17456 863
163 15462 858
164 13606 855
165 11818 853
166 10133 849
167 8516 841
168 7082 838
169 5683 820
170 4447 808
171 3114 751
172 1714 650
173 557 535
174 323 579
175 164 610
176 79 660
177 37 712
178 9 752
179 2 808
180 0 866
181 0 866
