Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 0 | Cost = 0 | Clusters = 1
Threshold = 1 | Cost = 0 | Clusters = 1
Threshold = 2 | Cost = 1 | Clusters = 1
Threshold = 3 | Cost = 2.09250998497009 | Clusters = 1
Threshold = 4 | Cost = 7.68645000457764 | Clusters = 1
Threshold = 5 | Cost = 16.1609897613525 | Clusters = 1
Threshold = 6 | Cost = 37.4915199279785 | Clusters = 1
Threshold = 7 | Cost = 79.9471740722656 | Clusters = 1
Threshold = 8 | Cost = 157.173614501953 | Clusters = 1
Threshold = 9 | Cost = 300.913299560547 | Clusters = 1
Threshold = 10 | Cost = 543.981140136719 | Clusters = 1
Threshold = 11 | Cost = 929.385375976562 | Clusters = 1
Threshold = 12 | Cost = 1562.82458496094 | Clusters = 1
Threshold = 13 | Cost = 2518.27880859375 | Clusters = 1
Threshold = 14 | Cost = 3959.47143554688 | Clusters = 1
Threshold = 15 | Cost = 6050.642578125 | Clusters = 1
Threshold = 16 | Cost = 9002.4443359375 | Clusters = 1
Threshold = 17 | Cost = 12940.494140625 | Clusters = 1
Threshold = 18 | Cost = 18002.15625 | Clusters = 1
Threshold = 19 | Cost = 24404.55078125 | Clusters = 1
Threshold = 20 | Cost = 32262.271484375 | Clusters = 1
Threshold = 21 | Cost = 41758.72265625 | Clusters = 1
Threshold = 22 | Cost = 52988.13671875 | Clusters = 1
Threshold = 23 | Cost = 66086.9140625 | Clusters = 1
Threshold = 24 | Cost = 81260.7578125 | Clusters = 1
Threshold = 25 | Cost = 98623.640625 | Clusters = 1
Threshold = 26 | Cost = 118375.4921875 | Clusters = 1
Threshold = 27 | Cost = 140719.09375 | Clusters = 1
Threshold = 28 | Cost = 165854.25 | Clusters = 1
Threshold = 29 | Cost = 193875.796875 | Clusters = 1
Threshold = 30 | Cost = 224891.875 | Clusters = 1
Threshold = 31 | Cost = 259186.375 | Clusters = 1
Threshold = 32 | Cost = 296731.1875 | Clusters = 1
Threshold = 33 | Cost = 337720.0625 | Clusters = 1
Threshold = 34 | Cost = 382332.15625 | Clusters = 1
Threshold = 35 | Cost = 430662.46875 | Clusters = 1
Threshold = 36 | Cost = 482935.75 | Clusters = 1
Threshold = 37 | Cost = 539312.75 | Clusters = 1
Threshold = 38 | Cost = 600006.4375 | Clusters = 1
Threshold = 39 | Cost = 665164.75 | Clusters = 1
Threshold = 40 | Cost = 734923.375 | Clusters = 1
Threshold = 41 | Cost = 809373.9375 | Clusters = 1
Threshold = 42 | Cost = 888731.75 | Clusters = 1
Threshold = 43 | Cost = 973298.1875 | Clusters = 1
Threshold = 44 | Cost = 1063303.375 | Clusters = 1
Threshold = 45 | Cost = 1158943.25 | Clusters = 1
Threshold = 46 | Cost = 1260503.125 | Clusters = 1
Threshold = 47 | Cost = 1368308.75 | Clusters = 1
Threshold = 48 | Cost = 1482662 | Clusters = 1
Threshold = 49 | Cost = 1603696 | Clusters = 1
Threshold = 50 | Cost = 1549678 | Clusters = 13
Threshold = 51 | Cost = 1791669 | Clusters = 24
Threshold = 52 | Cost = 1782260.75 | Clusters = 125
Threshold = 53 | Cost = 1540359.875 | Clusters = 131
Threshold = 54 | Cost = 953628.625 | Clusters = 69
Threshold = 55 | Cost = 760127.75 | Clusters = 34
Threshold = 56 | Cost = 505639.9375 | Clusters = 15
Threshold = 57 | Cost = 785810 | Clusters = 64
Threshold = 58 | Cost = 1616152.125 | Clusters = 340
Threshold = 59 | Cost = 1393229 | Clusters = 249
Threshold = 60 | Cost = 869392.8125 | Clusters = 30
Threshold = 61 | Cost = 564766.625 | Clusters = 12
Threshold = 62 | Cost = 552157.4375 | Clusters = 8
Threshold = 63 | Cost = 574904 | Clusters = 9
Threshold = 64 | Cost = 560032.25 | Clusters = 63
Threshold = 65 | Cost = 506662.5625 | Clusters = 48
Threshold = 66 | Cost = 477324.78125 | Clusters = 62
Threshold = 67 | Cost = 436297.34375 | Clusters = 88
Threshold = 68 | Cost = 370294.46875 | Clusters = 132
Threshold = 69 | Cost = 359266.21875 | Clusters = 266
Threshold = 70 | Cost = 333194.78125 | Clusters = 573
Threshold = 71 | Cost = 281807.875 | Clusters = 727
Threshold = 72 | Cost = 230725.046875 | Clusters = 734
Threshold = 73 | Cost = 185327.4375 | Clusters = 742
Threshold = 74 | Cost = 149679.375 | Clusters = 829
Threshold = 75 | Cost = 117216.1640625 | Clusters = 853
Threshold = 76 | Cost = 88767.5625 | Clusters = 822
Threshold = 77 | Cost = 67366.8828125 | Clusters = 858
Threshold = 78 | Cost = 49193.37109375 | Clusters = 863
Threshold = 79 | Cost = 34750.16796875 | Clusters = 866
Threshold = 80 | Cost = 23596.77734375 | Clusters = 866
Threshold = 81 | Cost = 15281.7021484375 | Clusters = 866
Threshold = 82 | Cost = 9349.4912109375 | Clusters = 866
Threshold = 83 | Cost = 5276.23388671875 | Clusters = 865
Threshold = 84 | Cost = 2651.73071289062 | Clusters = 849
Threshold = 85 | Cost = 248.187942504883 | Clusters = 411
Threshold = 86 | Cost = 55.88037109375 | Clusters = 558
Threshold = 87 | Cost = 5.23253011703491 | Clusters = 727
Threshold = 88 | Cost = 0.259440004825592 | Clusters = 832
Threshold = 89 | Cost = 0 | Clusters = 866
Threshold = 90 | Cost = 0 | Clusters = 866
