Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 0 | Cost = 0 | Clusters = 1
Threshold = 1 | Cost = 0 | Clusters = 1
Threshold = 2 | Cost = 1 | Clusters = 1
Threshold = 3 | Cost = 3.41708993911743 | Clusters = 1
Threshold = 4 | Cost = 6.41708946228027 | Clusters = 1
Threshold = 5 | Cost = 10.5449190139771 | Clusters = 1
Threshold = 6 | Cost = 15.5449190139771 | Clusters = 1
Threshold = 7 | Cost = 21.1703701019287 | Clusters = 1
Threshold = 8 | Cost = 27.1703701019287 | Clusters = 1
Threshold = 9 | Cost = 34.6866416931152 | Clusters = 1
Threshold = 10 | Cost = 44.7489814758301 | Clusters = 1
Threshold = 11 | Cost = 59.5907592773438 | Clusters = 1
Threshold = 12 | Cost = 78.6112899780273 | Clusters = 1
Threshold = 13 | Cost = 104.762084960938 | Clusters = 1
Threshold = 14 | Cost = 137.869110107422 | Clusters = 1
Threshold = 15 | Cost = 181.609680175781 | Clusters = 1
Threshold = 16 | Cost = 235.863967895508 | Clusters = 1
Threshold = 17 | Cost = 299.26318359375 | Clusters = 1
Threshold = 18 | Cost = 372.549102783203 | Clusters = 1
Threshold = 19 | Cost = 455.752197265625 | Clusters = 1
Threshold = 20 | Cost = 553.499572753906 | Clusters = 1
Threshold = 21 | Cost = 668.922790527344 | Clusters = 1
Threshold = 22 | Cost = 811.706665039062 | Clusters = 1
Threshold = 23 | Cost = 992.422241210938 | Clusters = 1
Threshold = 24 | Cost = 1208.78747558594 | Clusters = 1
Threshold = 25 | Cost = 1465.28381347656 | Clusters = 1
Threshold = 26 | Cost = 1758.14807128906 | Clusters = 1
Threshold = 27 | Cost = 2105.05810546875 | Clusters = 1
Threshold = 28 | Cost = 2530.61938476562 | Clusters = 1
Threshold = 29 | Cost = 3041.75927734375 | Clusters = 1
Threshold = 30 | Cost = 3643.72680664062 | Clusters = 1
Threshold = 31 | Cost = 4344.57763671875 | Clusters = 1
Threshold = 32 | Cost = 5179.3935546875 | Clusters = 1
Threshold = 33 | Cost = 6171.5966796875 | Clusters = 1
Threshold = 34 | Cost = 7334.76708984375 | Clusters = 1
Threshold = 35 | Cost = 8685.388671875 | Clusters = 1
Threshold = 36 | Cost = 10248.7822265625 | Clusters = 1
Threshold = 37 | Cost = 12056.3837890625 | Clusters = 1
Threshold = 38 | Cost = 14134.505859375 | Clusters = 1
Threshold = 39 | Cost = 16557.052734375 | Clusters = 1
Threshold = 40 | Cost = 19333.33203125 | Clusters = 1
Threshold = 41 | Cost = 22498.92578125 | Clusters = 1
Threshold = 42 | Cost = 26122.345703125 | Clusters = 1
Threshold = 43 | Cost = 30277.548828125 | Clusters = 1
Threshold = 44 | Cost = 35041.921875 | Clusters = 1
Threshold = 45 | Cost = 40459.68359375 | Clusters = 1
Threshold = 46 | Cost = 46601.66796875 | Clusters = 1
