Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 4 1
4 8 1
5 12 1
6 20 1
7 29 1
8 38 1
9 49 1
10 64 1
11 87 1
12 115 1
13 150 1
14 192 1
15 244 1
16 312 1
17 404 1
18 516 1
19 655 1
20 823 1
21 1025 1
22 1270 1
23 1575 1
24 1957 1
25 2420 1
26 2952 1
27 3569 1
28 4302 1
29 5157 1
30 6178 1
31 7384 1
32 8796 1
33 10461 1
34 12401 1
35 14663 1
36 17288 1
37 20349 1
38 23875 1
39 27931 1
40 32586 1
41 37905 1
42 43967 1
43 50839 1
44 58651 1
45 67493 1
46 77470 1
47 88722 1
48 101369 1
49 115550 1
50 131388 1
51 149057 1
52 168713 1
53 190522 1
54 214719 1
55 241493 1
56 271040 1
57 303509 1
58 339135 1
59 378124 1
60 420686 1
61 467079 1
62 517583 1
63 572298 1
64 631421 1
65 695144 1
66 763760 1
67 837459 1
68 916520 1
69 1001257 1
70 1091876 1
71 1188583 1
72 1291453 1
73 1400779 1
74 1506637 2
75 1619517 3
76 1714037 8
77 1807979 11
78 1900698 14
79 2000242 21
80 2124018 25
81 2199232 29
82 2262267 39
83 2271105 58
84 2231235 82
85 2325924 106
86 2250137 131
87 2130339 147
88 2166890 169
89 2010201 477
90 1860680 492
91 1722942 498
92 1588589 503
93 1446507 492
94 1338796 527
95 1169913 458
96 1096896 497
97 990279 545
98 915774 562
99 830101 574
100 759489 599
101 699556 598
102 650939 636
103 595642 685
104 543201 665
105 495804 679
106 450031 703
107 409542 700
108 369894 741
109 331905 735
110 299906 751
111 267056 743
112 237929 775
113 213508 777
114 189523 799
115 168553 825
116 149197 827
117 131580 846
118 116036 849
119 101917 849
120 89314 857
121 78101 863
122 68020 863
123 59192 866
124 51327 866
125 44367 864
126 38250 865
127 32884 866
128 28165 865
129 24065 865
130 20493 863
131 17450 864
132 14808 864
133 12497 864
134 10492 863
135 8761 860
136 7246 859
137 5952 847
138 4882 842
139 3975 835
140 3194 829
141 2556 826
142 1895 802
143 1341 780
144 783 753
145 324 724
146 220 748
147 147 764
148 99 772
149 69 781
150 52 791
151 41 802
152 31 813
153 23 822
154 17 832
155 12 839
156 7 843
157 2 849
158 1 853
159 0 856
160 0 857
161 0 860
162 0 862
163 0 862
164 0 863
165 0 864
166 0 864
167 0 864
168 0 864
169 0 864
170 0 864
171 0 864
172 0 865
173 0 866
174 0 866
