Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 3 1
4 6 1
5 11 1
6 17 1
7 25 1
8 36 1
9 51 1
10 72 1
11 100 1
12 133 1
13 173 1
14 219 1
15 280 1
16 354 1
17 439 1
18 535 1
19 648 1
20 784 1
21 941 1
22 1132 1
23 1353 1
24 1610 1
25 1918 1
26 2289 1
27 2726 1
28 3245 1
29 3853 1
30 4580 1
31 5443 1
32 6468 1
33 7660 1
34 9059 1
35 10690 1
36 12574 1
37 14757 1
38 17295 1
39 20224 1
40 23637 1
41 27542 1
42 32007 1
43 37077 1
44 42855 1
45 49441 1
46 56854 1
47 65215 1
48 74624 1
49 85181 1
50 97048 1
51 110333 1
52 125107 1
53 141549 1
54 159760 1
55 179970 1
56 202291 1
57 226855 1
58 253830 1
59 283519 1
60 316093 1
61 351707 1
62 390558 1
63 432894 1
64 478871 1
65 528816 1
66 582817 1
67 641105 1
68 703906 1
69 771476 1
70 844079 1
71 921927 1
72 1005215 1
73 1094125 1
74 1188977 1
75 1290022 1
76 1397383 1
77 1511037 1
78 1621417 2
79 1738137 3
80 1851546 5
81 1986886 12
82 2047174 14
83 2117682 26
84 2142622 44
85 2244771 40
86 2146402 78
87 2231339 72
88 2202225 92
89 2081241 144
90 2204343 122
91 2115551 158
92 2038392 212
93 1948716 207
94 1830794 561
95 1682915 507
96 1562285 556
97 1394828 431
98 1288056 467
99 1204691 534
100 1094406 533
101 999582 573
102 925285 595
103 839960 614
104 770506 646
105 702440 638
106 643867 651
107 597771 664
108 542371 669
109 493173 717
110 447746 732
111 405756 776
112 367025 770
113 330402 792
114 296220 780
115 265787 799
116 236733 779
117 211517 804
118 188668 806
119 167113 822
120 147935 828
121 130910 837
122 115839 852
123 101695 857
124 89504 865
125 78370 866
126 68430 865
127 59675 866
128 51891 866
129 45031 866
130 38982 866
131 33684 866
132 29056 865
133 25017 866
134 21492 865
135 18461 866
136 15808 865
137 13511 864
138 11525 863
139 9784 860
140 8304 857
141 7061 858
142 5986 859
143 5061 857
144 4174 847
145 3464 844
146 2807 833
147 2245 827
148 1835 823
149 1470 816
150 1080 805
151 814 796
152 591 792
153 302 778
154 235 786
155 184 794
156 141 804
157 104 813
158 78 821
159 58 830
160 43 837
161 31 841
162 22 844
163 17 851
164 13 853
165 9 854
166 6 857
167 4 859
168 2 862
169 1 863
170 0 863
171 0 864
172 0 864
173 0 864
174 0 864
175 0 864
176 0 865
177 0 865
178 0 866
