Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 3 1
5 4 1
6 5 1
7 6 1
8 7 1
9 8 1
10 9 1
11 10 1
12 11 1
13 13 1
14 17 1
15 22 1
16 28 1
17 38 1
18 51 1
19 71 1
20 99 1
21 130 1
22 171 1
23 222 1
24 286 1
25 370 1
26 478 1
27 610 1
28 786 1
29 1018 1
30 1300 1
31 1649 1
32 2084 1
33 2614 1
34 3257 1
35 4035 1
36 4978 1
37 6102 1
38 7428 1
39 8987 1
40 10830 1
41 12998 1
42 15542 1
43 18518 1
44 22006 1
45 26090 1
46 30861 1
47 36401 1
48 42825 1
49 50238 1
50 58663 1
51 68239 1
52 79117 1
53 91454 1
54 105353 1
55 120986 1
56 138495 1
57 158120 1
58 180063 1
59 204468 1
60 231565 1
61 261619 1
62 294791 1
63 331320 1
64 371379 1
65 415255 1
66 463184 1
67 515431 1
68 572356 1
69 634263 1
70 701315 1
71 773695 1
72 851627 1
73 935368 1
74 1015484 2
75 1110699 2
76 1212445 2
77 1320899 2
78 1426619 3
79 1538803 4
80 1619311 9
81 1730938 11
82 1838294 18
83 1922387 26
84 1985083 35
85 2025880 63
86 2082263 49
87 2080256 77
88 2093664 86
89 2185140 127
90 2050946 182
91 2000949 206
92 1851989 311
93 1701165 404
94 1501912 395
95 1398814 352
96 1273152 431
97 1170710 418
98 1044555 455
99 965131 477
100 875837 456
101 820919 516
102 758982 534
103 693583 560
104 643461 560
105 579925 620
106 529272 632
107 472664 657
108 429411 768
109 383956 785
110 341975 814
111 303878 825
112 267452 796
113 236828 808
114 208572 831
115 182710 833
116 159930 850
117 139366 851
118 120975 852
119 104732 859
120 90378 863
121 77584 859
122 66491 866
123 56671 865
124 48080 864
125 40676 866
126 34261 866
127 28753 866
128 24022 866
129 19971 865
130 16521 865
131 13585 863
132 11162 862
133 9138 859
134 7389 849
135 5922 841
136 4745 834
137 3735 827
138 2942 821
139 2138 790
140 1575 783
141 862 742
142 303 693
143 209 723
144 144 748
145 99 762
146 68 780
147 48 798
148 32 808
149 19 813
150 13 824
151 11 836
152 8 842
153 6 851
154 4 854
155 3 855
156 2 858
157 1 862
158 0 864
159 0 864
160 0 865
161 0 865
162 0 865
163 0 865
164 0 865
165 0 865
166 0 865
167 0 866
