
currentTclustCluster = c13 | nextThreshold = 13

currentTclustCluster = c14 | nextThreshold = 13

currentTclustCluster = c15 | nextThreshold = 13

currentTclustCluster = c18 | nextThreshold = 13

currentTclustCluster = c21 | nextThreshold = 13

currentTclustCluster = c22 | nextThreshold = 13

currentTclustCluster = c23 | nextThreshold = 13

currentTclustCluster = c20 | nextThreshold = 13

currentTclustCluster = c9 | nextThreshold = 13

currentTclustCluster = c10 | nextThreshold = 13

currentTclustCluster = c11 | nextThreshold = 13

currentTclustCluster = c12 | nextThreshold = 13

currentTclustCluster = c5 | nextThreshold = 14

currentTclustCluster = c13 | nextThreshold = 14

currentTclustCluster = c14 | nextThreshold = 14

currentTclustCluster = c15 | nextThreshold = 14

currentTclustCluster = c18 | nextThreshold = 14

currentTclustCluster = c21 | nextThreshold = 14

currentTclustCluster = c22 | nextThreshold = 14

currentTclustCluster = c23 | nextThreshold = 14

currentTclustCluster = c20 | nextThreshold = 14

currentTclustCluster = c9 | nextThreshold = 14

currentTclustCluster = c10 | nextThreshold = 14

currentTclustCluster = c11 | nextThreshold = 14

currentTclustCluster = c12 | nextThreshold = 14

currentTclustCluster = c5 | nextThreshold = 15

currentTclustCluster = c13 | nextThreshold = 15

currentTclustCluster = c14 | nextThreshold = 15

currentTclustCluster = c15 | nextThreshold = 15

currentTclustCluster = c18 | nextThreshold = 15

currentTclustCluster = c21 | nextThreshold = 15

currentTclustCluster = c22 | nextThreshold = 15

currentTclustCluster = c23 | nextThreshold = 15

currentTclustCluster = c20 | nextThreshold = 15

currentTclustCluster = c9 | nextThreshold = 15

currentTclustCluster = c10 | nextThreshold = 15

currentTclustCluster = c11 | nextThreshold = 15

currentTclustCluster = c12 | nextThreshold = 15

currentTclustCluster = c5 | nextThreshold = 16

currentTclustCluster = c13 | nextThreshold = 16

currentTclustCluster = c14 | nextThreshold = 16

currentTclustCluster = c15 | nextThreshold = 16

currentTclustCluster = c18 | nextThreshold = 16

currentTclustCluster = c25 | nextThreshold = 16

currentTclustCluster = c26 | nextThreshold = 16

currentTclustCluster = c22 | nextThreshold = 16

currentTclustCluster = c23 | nextThreshold = 16

currentTclustCluster = c20 | nextThreshold = 16

currentTclustCluster = c9 | nextThreshold = 16

currentTclustCluster = c10 | nextThreshold = 16

currentTclustCluster = c11 | nextThreshold = 16

currentTclustCluster = c12 | nextThreshold = 16

currentTclustCluster = c5 | nextThreshold = 17

currentTclustCluster = c13 | nextThreshold = 17

currentTclustCluster = c14 | nextThreshold = 17

currentTclustCluster = c15 | nextThreshold = 17

currentTclustCluster = c18 | nextThreshold = 17

currentTclustCluster = c25 | nextThreshold = 17

currentTclustCluster = c26 | nextThreshold = 17

currentTclustCluster = c22 | nextThreshold = 17

currentTclustCluster = c23 | nextThreshold = 17

currentTclustCluster = c20 | nextThreshold = 17

currentTclustCluster = c9 | nextThreshold = 17

currentTclustCluster = c10 | nextThreshold = 17

currentTclustCluster = c11 | nextThreshold = 17

currentTclustCluster = c12 | nextThreshold = 17

currentTclustCluster = c5 | nextThreshold = 18

currentTclustCluster = c13 | nextThreshold = 18

currentTclustCluster = c14 | nextThreshold = 18

currentTclustCluster = c27 | nextThreshold = 18

currentTclustCluster = c28 | nextThreshold = 18

currentTclustCluster = c18 | nextThreshold = 18

currentTclustCluster = c25 | nextThreshold = 18

currentTclustCluster = c26 | nextThreshold = 18

currentTclustCluster = c22 | nextThreshold = 18

currentTclustCluster = c23 | nextThreshold = 18

currentTclustCluster = c20 | nextThreshold = 18

currentTclustCluster = c9 | nextThreshold = 18

currentTclustCluster = c10 | nextThreshold = 18

currentTclustCluster = c11 | nextThreshold = 18

currentTclustCluster = c12 | nextThreshold = 18

currentTclustCluster = c5 | nextThreshold = 19

currentTclustCluster = c13 | nextThreshold = 19

currentTclustCluster = c14 | nextThreshold = 19

currentTclustCluster = c27 | nextThreshold = 19

currentTclustCluster = c28 | nextThreshold = 19

currentTclustCluster = c18 | nextThreshold = 19

currentTclustCluster = c25 | nextThreshold = 19

currentTclustCluster = c26 | nextThreshold = 19

currentTclustCluster = c22 | nextThreshold = 19

currentTclustCluster = c23 | nextThreshold = 19

currentTclustCluster = c20 | nextThreshold = 19

currentTclustCluster = c9 | nextThreshold = 19

currentTclustCluster = c10 | nextThreshold = 19

currentTclustCluster = c11 | nextThreshold = 19

currentTclustCluster = c12 | nextThreshold = 19

currentTclustCluster = c5 | nextThreshold = 20

currentTclustCluster = c13 | nextThreshold = 20

currentTclustCluster = c14 | nextThreshold = 20

currentTclustCluster = c27 | nextThreshold = 20

currentTclustCluster = c28 | nextThreshold = 20

currentTclustCluster = c18 | nextThreshold = 20

currentTclustCluster = c25 | nextThreshold = 20

currentTclustCluster = c26 | nextThreshold = 20

currentTclustCluster = c22 | nextThreshold = 20

currentTclustCluster = c23 | nextThreshold = 20

currentTclustCluster = c20 | nextThreshold = 20

currentTclustCluster = c9 | nextThreshold = 20

currentTclustCluster = c10 | nextThreshold = 20

currentTclustCluster = c11 | nextThreshold = 20

currentTclustCluster = c12 | nextThreshold = 20

currentTclustCluster = c5 | nextThreshold = 21

currentTclustCluster = c13 | nextThreshold = 21

currentTclustCluster = c14 | nextThreshold = 21

currentTclustCluster = c27 | nextThreshold = 21

currentTclustCluster = c28 | nextThreshold = 21

currentTclustCluster = c18 | nextThreshold = 21

currentTclustCluster = c25 | nextThreshold = 21

currentTclustCluster = c26 | nextThreshold = 21

currentTclustCluster = c22 | nextThreshold = 21

currentTclustCluster = c23 | nextThreshold = 21

currentTclustCluster = c20 | nextThreshold = 21

currentTclustCluster = c9 | nextThreshold = 21

currentTclustCluster = c10 | nextThreshold = 21

currentTclustCluster = c11 | nextThreshold = 21

currentTclustCluster = c12 | nextThreshold = 21

currentTclustCluster = c5 | nextThreshold = 22

currentTclustCluster = c13 | nextThreshold = 22

currentTclustCluster = c14 | nextThreshold = 22

currentTclustCluster = c27 | nextThreshold = 22

currentTclustCluster = c28 | nextThreshold = 22

currentTclustCluster = c18 | nextThreshold = 22

currentTclustCluster = c25 | nextThreshold = 22

currentTclustCluster = c26 | nextThreshold = 22

currentTclustCluster = c22 | nextThreshold = 22

currentTclustCluster = c23 | nextThreshold = 22

currentTclustCluster = c20 | nextThreshold = 22

currentTclustCluster = c9 | nextThreshold = 22

currentTclustCluster = c10 | nextThreshold = 22

currentTclustCluster = c11 | nextThreshold = 22

currentTclustCluster = c12 | nextThreshold = 22

currentTclustCluster = c5 | nextThreshold = 23

currentTclustCluster = c13 | nextThreshold = 23

currentTclustCluster = c14 | nextThreshold = 23

currentTclustCluster = c27 | nextThreshold = 23

currentTclustCluster = c28 | nextThreshold = 23

currentTclustCluster = c18 | nextThreshold = 23

currentTclustCluster = c25 | nextThreshold = 23

currentTclustCluster = c26 | nextThreshold = 23

currentTclustCluster = c22 | nextThreshold = 23

currentTclustCluster = c23 | nextThreshold = 23

currentTclustCluster = c20 | nextThreshold = 23

currentTclustCluster = c9 | nextThreshold = 23

currentTclustCluster = c10 | nextThreshold = 23

currentTclustCluster = c11 | nextThreshold = 23

currentTclustCluster = c12 | nextThreshold = 23

currentTclustCluster = c5 | nextThreshold = 24

currentTclustCluster = c13 | nextThreshold = 24

currentTclustCluster = c14 | nextThreshold = 24

currentTclustCluster = c27 | nextThreshold = 24

currentTclustCluster = c29 | nextThreshold = 24

