
currentTclustCluster = c142 | nextThreshold = 6

currentTclustCluster = c145 | nextThreshold = 6

currentTclustCluster = c66 | nextThreshold = 6

currentTclustCluster = c68 | nextThreshold = 6

currentTclustCluster = c79 | nextThreshold = 6

currentTclustCluster = c167 | nextThreshold = 6

currentTclustCluster = c176 | nextThreshold = 6

currentTclustCluster = c177 | nextThreshold = 6

currentTclustCluster = c103 | nextThreshold = 6

currentTclustCluster = c104 | nextThreshold = 6

currentTclustCluster = c105 | nextThreshold = 6

currentTclustCluster = c106 | nextThreshold = 6

currentTclustCluster = c34 | nextThreshold = 7

currentTclustCluster = c35 | nextThreshold = 7

currentTclustCluster = c37 | nextThreshold = 7

currentTclustCluster = c169 | nextThreshold = 7

currentTclustCluster = c178 | nextThreshold = 7

currentTclustCluster = c120 | nextThreshold = 7

currentTclustCluster = c163 | nextThreshold = 7

currentTclustCluster = c164 | nextThreshold = 7

currentTclustCluster = c124 | nextThreshold = 7

currentTclustCluster = c125 | nextThreshold = 7

currentTclustCluster = c129 | nextThreshold = 7

currentTclustCluster = c46 | nextThreshold = 7

currentTclustCluster = c174 | nextThreshold = 7

currentTclustCluster = c186 | nextThreshold = 7

currentTclustCluster = c187 | nextThreshold = 7

currentTclustCluster = c140 | nextThreshold = 7

currentTclustCluster = c56 | nextThreshold = 7

currentTclustCluster = c142 | nextThreshold = 7

currentTclustCluster = c145 | nextThreshold = 7

currentTclustCluster = c66 | nextThreshold = 7

currentTclustCluster = c68 | nextThreshold = 7

currentTclustCluster = c79 | nextThreshold = 7

currentTclustCluster = c167 | nextThreshold = 7

currentTclustCluster = c176 | nextThreshold = 7

currentTclustCluster = c177 | nextThreshold = 7

currentTclustCluster = c103 | nextThreshold = 7

currentTclustCluster = c104 | nextThreshold = 7

currentTclustCluster = c105 | nextThreshold = 7

currentTclustCluster = c106 | nextThreshold = 7

currentTclustCluster = c34 | nextThreshold = 8

currentTclustCluster = c35 | nextThreshold = 8

currentTclustCluster = c37 | nextThreshold = 8

currentTclustCluster = c169 | nextThreshold = 8

currentTclustCluster = c178 | nextThreshold = 8

currentTclustCluster = c120 | nextThreshold = 8

currentTclustCluster = c163 | nextThreshold = 8

currentTclustCluster = c164 | nextThreshold = 8

currentTclustCluster = c124 | nextThreshold = 8

currentTclustCluster = c125 | nextThreshold = 8

