Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1026934 4
4 1358349 8
5 1671662 16
6 1984850 21
7 2295306 25
8 2590899 30
9 2799435 52
10 3083605 51
11 3293809 69
12 3390774 99
13 3483267 526
14 3453955 537
15 3424807 438
16 3395780 662
17 3364381 578
18 3335256 543
19 3303303 556
20 3273811 485
21 3244640 583
22 3213789 618
23 3182137 578
24 3152653 594
25 3121089 609
26 3090728 591
27 3063380 637
28 3033662 817
29 3002091 637
30 2972695 699
31 2940022 632
32 2911797 626
33 2877966 614
34 2844920 605
35 2817922 645
36 2787520 644
37 2755877 623
38 2724769 576
39 2698503 643
40 2668260 687
41 2637323 694
42 2600764 645
43 2574189 678
44 2542044 648
45 2515106 641
46 2483818 677
47 2450888 659
48 2416720 618
49 2390478 636
50 2363567 659
51 2330250 648
52 2303292 674
53 2273326 696
54 2243093 673
55 2211655 696
56 2181659 740
57 2152173 733
58 2121389 772
59 2090933 768
60 2060460 741
61 2029251 734
62 2000742 759
63 1968199 753
64 1936929 753
65 1909086 749
66 1881241 796
67 1850740 773
68 1820523 827
69 1790480 842
70 1760107 837
71 1729712 820
72 1699635 839
73 1668975 816
74 1638740 826
75 1608322 816
76 1577779 822
77 1547350 828
78 1516909 833
79 1487140 833
80 1456882 843
81 1426940 848
82 1396499 815
83 1365984 831
84 1335386 828
85 1305314 808
86 1275149 795
87 1244990 851
88 1214752 799
89 1184263 829
90 1153945 825
91 1123871 829
92 1093060 834
93 1063058 839
94 1033092 834
95 1003007 836
96 972372 847
97 942012 849
98 911640 826
99 881424 845
100 851217 847
101 820280 828
102 790432 837
103 760126 849
104 730044 856
105 699759 859
106 669491 860
107 639268 855
108 608938 849
109 578535 853
110 548393 865
111 517978 860
112 487708 862
113 457439 864
114 427129 864
115 396806 863
116 366453 862
117 336224 866
118 305912 866
119 275593 864
120 245836 866
121 218627 865
122 193987 866
123 171778 866
124 151714 866
125 133611 866
126 117372 866
127 102881 866
128 89993 866
129 78481 866
130 68261 865
131 59264 866
132 51309 866
133 44323 866
134 38187 866
135 32844 865
136 28184 865
137 24107 865
138 20565 865
139 17482 865
140 14817 865
141 12510 864
142 10502 861
143 8794 858
144 7332 856
145 6094 855
146 5041 852
147 4119 844
148 3374 840
149 2735 836
150 2160 824
151 1698 820
152 1264 812
153 932 804
154 639 792
155 281 765
156 208 775
157 152 789
158 112 802
159 83 813
160 62 817
161 45 826
162 32 837
163 24 840
164 16 844
165 10 849
166 5 851
167 3 856
168 1 857
169 0 859
170 0 860
171 0 861
172 0 862
173 0 864
174 0 864
175 0 865
176 0 865
177 0 865
178 0 865
179 0 866
180 0 866
