Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 687191 2
3 1030559 2
4 1363658 6
5 1693923 9
6 2006004 16
7 2268129 34
8 2534003 45
9 2782717 54
10 3007062 88
11 3146935 100
12 3189973 450
13 3161453 466
14 3130521 464
15 3103122 561
16 3072156 457
17 3040516 472
18 3011568 495
19 2983803 554
20 2951407 500
21 2917956 486
22 2885940 433
23 2854334 471
24 2828765 486
25 2783969 485
26 2759971 565
27 2731310 521
28 2702527 559
29 2655042 495
30 2633572 563
31 2614802 576
32 2580567 606
33 2552530 604
34 2523542 619
35 2490234 626
36 2467015 658
37 2431234 636
38 2400783 618
39 2370605 588
40 2337439 601
41 2309438 628
42 2278690 647
43 2247474 614
44 2216529 646
45 2186153 646
46 2150583 595
47 2117952 587
48 2086408 577
49 2062908 629
50 2034836 637
51 2006805 664
52 1976312 653
53 1946211 658
54 1916797 676
55 1888755 666
56 1858135 661
57 1828249 662
58 1800728 736
59 1770332 737
60 1740442 739
61 1709244 726
62 1679207 714
63 1649621 717
64 1619498 746
65 1590245 764
66 1559778 760
67 1530172 766
68 1500185 744
69 1469782 761
70 1439687 758
71 1410042 839
72 1379919 823
73 1349438 791
74 1319161 818
75 1288477 795
76 1258699 806
77 1228745 831
78 1198220 831
79 1168042 847
80 1137478 840
81 1107104 840
82 1077059 839
83 1046802 858
84 1016640 853
85 986438 865
86 956050 863
87 925743 863
88 895483 861
89 865197 865
90 834925 866
91 804531 863
92 774302 866
93 743916 864
94 713591 859
95 683271 863
96 653002 864
97 622644 862
98 592412 865
99 562026 861
100 531804 866
101 501476 865
102 471163 865
103 440852 865
104 410527 864
105 380244 866
106 349932 866
107 319621 866
108 289248 864
109 258997 866
110 229022 866
111 201601 866
112 176977 866
113 154905 866
114 135200 866
115 117648 866
116 102105 866
117 88326 866
118 76118 866
119 65403 866
120 56051 866
121 47890 866
122 40734 866
123 34545 866
124 29188 866
125 24589 866
126 20683 866
127 17328 866
128 14446 865
129 12015 864
130 9959 861
131 8213 856
132 6766 852
133 5527 846
134 4494 837
135 3602 825
136 2841 811
137 2214 802
138 1656 794
139 1141 776
140 764 769
141 273 723
142 190 739
143 128 756
144 83 781
145 56 795
146 38 808
147 23 815
148 14 825
149 8 834
150 4 842
151 2 851
152 0 854
153 0 857
154 0 860
155 0 862
156 0 864
157 0 864
158 0 865
159 0 866
160 0 866
