Threshold Cost Clusters
-1 0 1
0 0 1
1 343593 2
2 686961 2
3 1030329 2
4 1373697 2
5 1710522 4
6 2019581 13
7 2340360 16
8 2617216 29
9 2878218 39
10 3088885 56
11 3186030 303
12 3150359 358
13 3111695 350
14 3091482 372
15 3072288 378
16 3015131 349
17 2993390 367
18 2956068 363
19 2950944 438
20 2914968 379
21 2877312 405
22 2840686 411
23 2806307 392
24 2779182 427
25 2743472 413
26 2723852 441
27 2696542 444
28 2678310 544
29 2641110 502
30 2609992 518
31 2560274 433
32 2536440 429
33 2514859 481
34 2492934 499
35 2464829 537
36 2428912 487
37 2397206 488
38 2368086 519
39 2339012 502
40 2310538 478
41 2282512 542
42 2251326 524
43 2229954 566
44 2198546 581
45 2167498 604
46 2138036 603
47 2109134 615
48 2076228 609
49 2044752 618
50 2015405 597
51 1984097 614
52 1955214 612
53 1927355 597
54 1897572 607
55 1870155 611
56 1841422 626
57 1814358 648
58 1786882 690
59 1757325 691
60 1726520 682
61 1695981 690
62 1668225 728
63 1638401 762
64 1608484 751
65 1579312 779
66 1549096 772
67 1518653 784
68 1488184 795
69 1458258 807
70 1428334 827
71 1398318 830
72 1367933 823
73 1337778 827
74 1307591 837
75 1277923 836
76 1247666 841
77 1217439 840
78 1187348 839
79 1156732 841
80 1126562 848
81 1096692 853
82 1066410 862
83 1036176 864
84 1005768 855
85 975285 857
86 945219 857
87 914863 859
88 884487 857
89 854106 858
90 823996 860
91 793659 859
92 763390 864
93 733044 862
94 702710 857
95 672389 860
96 642179 865
97 611840 864
98 581497 863
99 551170 863
100 520893 864
101 490589 864
102 460253 863
103 429973 864
104 399696 866
105 369383 866
106 339009 863
107 308760 866
108 278448 866
109 248136 866
110 219302 866
111 193303 866
112 169926 866
113 148950 866
114 130173 866
115 113486 866
116 98676 866
117 85503 866
118 73888 866
119 63638 866
120 54645 866
121 46806 866
122 39953 866
123 34004 866
124 28867 866
125 24410 866
126 20579 866
127 17298 866
128 14479 865
129 12049 862
130 10016 860
131 8300 859
132 6869 860
133 5639 857
134 4527 840
135 3659 830
136 2888 826
137 2111 796
138 1264 733
139 753 715
140 359 700
141 257 719
142 179 738
143 120 763
144 79 781
145 51 790
146 31 796
147 17 809
148 8 820
149 5 827
150 3 839
151 2 845
152 1 850
153 0 852
154 0 856
155 0 859
156 0 861
157 0 862
158 0 864
159 0 865
160 0 866
