Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1030642 2
4 1366306 5
5 1688302 11
6 2001965 19
7 2286755 25
8 2561658 51
9 2792613 73
10 3028127 61
11 3054344 467
12 3028638 420
13 2997119 475
14 2955430 401
15 2909293 414
16 2902624 467
17 2858458 446
18 2834161 433
19 2810353 491
20 2772280 459
21 2730398 442
22 2694706 432
23 2686622 488
24 2613810 437
25 2614633 481
26 2581845 481
27 2528053 454
28 2519423 493
29 2472564 467
30 2436546 469
31 2421858 522
32 2383617 502
33 2348384 488
34 2319670 500
35 2303256 519
36 2272686 548
37 2241709 516
38 2225938 548
39 2192029 541
40 2158410 547
41 2126831 541
42 2102117 574
43 2069198 553
44 2047460 624
45 2018712 561
46 1990694 595
47 1955176 583
48 1926478 597
49 1896758 605
50 1868206 641
51 1839512 623
52 1809529 641
53 1781464 633
54 1751906 631
55 1721616 624
56 1692158 646
57 1662997 670
58 1632758 653
59 1603326 649
60 1575776 651
61 1547400 699
62 1518365 712
63 1487593 725
64 1459465 741
65 1430218 771
66 1400008 767
67 1370186 791
68 1340202 814
69 1310085 803
70 1280040 809
71 1249572 811
72 1219783 822
73 1189338 832
74 1158597 834
75 1128840 837
76 1098891 849
77 1068325 838
78 1037969 841
79 1007819 849
80 977521 845
81 947324 853
82 917233 850
83 886975 855
84 856778 864
85 826512 865
86 796036 859
87 765781 857
88 735461 861
89 705243 864
90 674903 860
91 644647 861
92 614349 866
93 584036 866
94 553634 863
95 523337 864
96 493058 865
97 462732 864
98 432436 865
99 402124 865
100 371788 862
101 341475 864
102 311191 865
103 280820 863
104 250606 866
105 221797 866
106 195791 866
107 172345 866
108 151314 866
109 132445 866
110 115568 866
111 100572 866
112 87315 866
113 75641 866
114 65358 866
115 56312 866
116 48348 866
117 41377 866
118 35266 865
119 29991 865
120 25451 865
121 21521 865
122 18114 865
123 15197 864
124 12710 862
125 10574 861
126 8738 856
127 7166 848
128 5879 844
129 4777 838
130 3849 831
131 3008 813
132 2319 795
133 1773 786
134 1138 748
135 798 747
136 344 713
137 259 738
138 192 753
139 141 771
140 97 785
141 68 797
142 46 810
143 34 821
144 23 828
145 15 837
146 9 849
147 5 852
148 2 854
149 1 855
150 0 857
151 0 859
152 0 861
153 0 864
154 0 866
155 0 866
