Threshold Cost Clusters
-1 0 1
0 0 1
1 343380 4
2 671231 16
3 965264 36
4 1226000 60
5 1469055 77
6 1677373 104
7 1850278 138
8 1893233 466
9 1892503 427
10 1852957 454
11 1871707 531
12 1840962 553
13 1813462 523
14 1811190 575
15 1777581 543
16 1773935 524
17 1750888 573
18 1733187 595
19 1697436 539
20 1698757 591
21 1678680 586
22 1664864 595
23 1649898 602
24 1635432 626
25 1614805 630
26 1602455 686
27 1583965 681
28 1555848 606
29 1536544 613
30 1524532 626
31 1517973 677
32 1500870 661
33 1479234 661
34 1468136 687
35 1449956 682
36 1429565 654
37 1419107 669
38 1402126 683
39 1389733 704
40 1373346 733
41 1361743 766
42 1342851 712
43 1322792 682
44 1309334 732
45 1296062 712
46 1277036 756
47 1262584 736
48 1250343 729
49 1235327 727
50 1219317 751
51 1199676 734
52 1189418 744
53 1175397 729
54 1159077 735
55 1146562 765
56 1130701 779
57 1115287 777
58 1101183 746
59 1087668 811
60 1071541 762
61 1057137 764
62 1044664 787
63 1029964 795
64 1017114 840
65 1001202 797
66 988238 807
67 974219 826
68 959836 796
69 946068 810
70 932172 794
71 918737 810
72 905330 847
73 890823 839
74 876532 834
75 863317 837
76 850387 862
77 836101 841
78 821787 845
79 809547 844
80 796290 865
81 782315 852
82 769252 864
83 755808 857
84 742047 854
85 728697 853
86 715579 858
87 702363 863
88 689086 863
89 675666 858
90 662314 856
91 649191 859
92 636146 861
93 622936 862
94 609900 862
95 596789 860
96 583599 864
97 570351 862
98 557308 863
99 544362 865
100 531314 865
101 518097 863
102 505217 864
103 492312 865
104 479288 861
105 466552 865
106 453727 864
107 441086 865
108 428444 865
109 415896 865
110 403460 865
111 391145 866
112 378839 865
113 366763 866
114 354709 866
115 342725 866
116 330823 866
117 319029 866
118 307334 866
119 295731 866
120 284248 866
121 272870 866
122 261594 866
123 250430 866
124 239376 866
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176127 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74793 865
144 69805 865
145 65157 865
146 60850 865
147 56893 865
148 53225 866
149 49817 866
150 46589 865
151 43550 864
152 40721 864
153 38023 864
154 35420 864
155 32914 864
156 30511 864
157 28181 864
158 25908 864
159 23693 864
160 21554 864
161 19478 864
162 17472 864
163 15548 864
164 13705 864
165 11938 864
166 10261 862
167 8699 861
168 7244 858
169 5946 858
170 4752 849
171 3698 848
172 2726 839
173 1933 832
174 1293 830
175 792 821
176 365 791
177 108 756
178 35 781
179 6 816
180 0 866
181 0 866
