Threshold Cost Clusters
-1 0 1
0 0 1
1 342111 6
2 667379 20
3 964720 39
4 1213781 66
5 1448894 83
6 1625374 126
7 1767928 148
8 1893399 176
9 1901652 516
10 1887548 471
11 1881359 585
12 1853977 564
13 1841074 598
14 1818388 587
15 1801979 574
16 1766092 513
17 1751114 588
18 1738483 605
19 1720750 624
20 1696608 601
21 1686724 644
22 1659170 613
23 1650157 610
24 1633529 635
25 1614570 633
26 1603455 664
27 1583455 624
28 1571452 669
29 1551521 682
30 1528208 663
31 1516296 660
32 1500844 668
33 1485407 694
34 1472961 698
35 1453835 698
36 1440110 701
37 1427914 722
38 1409899 723
39 1394030 729
40 1380615 752
41 1361721 721
42 1345564 730
43 1330699 740
44 1314616 747
45 1301170 752
46 1280473 727
47 1266729 775
48 1251005 784
49 1234462 769
50 1220114 741
51 1206371 808
52 1187485 776
53 1176452 768
54 1162138 797
55 1146312 827
56 1131945 805
57 1117367 821
58 1102133 843
59 1088693 850
60 1072331 802
61 1058432 812
62 1044024 819
63 1029630 811
64 1016126 828
65 1002402 841
66 988595 805
67 973987 801
68 960971 845
69 946103 807
70 932955 841
71 918557 815
72 903651 801
73 891191 820
74 876649 821
75 863654 814
76 849970 842
77 836048 845
78 822899 842
79 809344 851
80 795279 834
81 781159 831
82 768283 839
83 755076 838
84 742394 840
85 728474 851
86 715826 861
87 702199 856
88 688973 856
89 675875 856
90 662613 861
91 649398 863
92 636201 863
93 623013 853
94 609817 861
95 596713 863
96 583658 863
97 570565 862
98 557464 865
99 544415 866
100 531269 864
101 518090 860
102 505271 865
103 492264 862
104 479477 866
105 466579 865
106 453804 865
107 441114 866
108 428478 866
109 415817 864
110 403463 865
111 391144 866
112 378904 866
113 366763 866
114 354686 865
115 342726 866
116 330778 865
117 319029 866
118 307271 864
119 295731 866
120 284248 866
121 272870 866
122 261593 866
123 250430 866
124 239376 866
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166208 866
132 156526 866
133 147098 866
134 137969 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69807 865
145 65158 865
146 60851 865
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38049 865
154 35444 865
155 32938 865
156 30534 865
157 28203 865
158 25929 865
159 23713 865
160 21573 865
161 19486 863
162 17482 864
163 15557 864
164 13714 864
165 11943 863
166 10271 861
167 8700 858
168 7257 855
169 5951 855
170 4772 854
171 3716 853
172 2774 850
173 1978 848
174 1299 825
175 794 816
176 421 803
177 216 813
178 48 792
179 7 823
180 0 866
181 0 866
