Threshold Cost Clusters
-1 0 1
0 0 1
1 344891 2
2 683420 7
3 992841 26
4 1257599 48
5 1510294 67
6 1708772 120
7 1848656 226
8 1873217 323
9 1869725 453
10 1864338 420
11 1814074 406
12 1813320 484
13 1799824 502
14 1791550 547
15 1732102 499
16 1723246 511
17 1711434 528
18 1690149 517
19 1678513 530
20 1663910 554
21 1661781 582
22 1635730 537
23 1632304 576
24 1599604 598
25 1607477 629
26 1568750 593
27 1562044 598
28 1528540 551
29 1507942 595
30 1515421 579
31 1485913 581
32 1491456 662
33 1472477 651
34 1456424 632
35 1439838 636
36 1431233 699
37 1408299 657
38 1398504 687
39 1381910 663
40 1362253 657
41 1344522 704
42 1339064 702
43 1324533 689
44 1304166 652
45 1292704 736
46 1270883 663
47 1259520 677
48 1242539 663
49 1230032 689
50 1218559 735
51 1201350 719
52 1188128 731
53 1175156 765
54 1158734 743
55 1144725 785
56 1125645 743
57 1112264 759
58 1100210 800
59 1087200 804
60 1071616 801
61 1058924 834
62 1043057 817
63 1030421 821
64 1014763 813
65 1001849 822
66 988671 832
67 974844 851
68 959858 832
69 946144 823
70 932730 839
71 918876 851
72 904795 849
73 890590 837
74 876651 843
75 863133 845
76 849658 846
77 836012 848
78 823200 858
79 809382 859
80 795844 858
81 782352 858
82 768696 854
83 755921 863
84 742602 866
85 728893 859
86 715537 860
87 702301 862
88 689222 865
89 675884 859
90 662763 865
91 649489 859
92 636288 864
93 623068 864
94 609972 865
95 596763 864
96 583642 865
97 570524 865
98 557402 864
99 544415 866
100 531250 864
101 518336 866
102 505002 862
103 492373 863
104 479478 866
105 466490 864
106 453724 864
107 441043 865
108 428410 865
109 415873 865
110 403492 866
111 391057 864
112 378865 865
113 366763 866
114 354709 866
115 342643 864
116 330822 866
117 318977 865
118 307334 866
119 295731 866
120 284248 866
121 272826 865
122 261593 866
123 250430 866
124 239354 865
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112877 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56887 865
148 53220 865
149 49813 865
150 46610 865
151 43597 865
152 40728 862
153 38032 862
154 35409 863
155 32892 862
156 30491 862
157 28163 862
158 25892 862
159 23680 862
160 21540 861
161 19466 861
162 17464 861
163 15529 861
164 13689 861
165 11918 860
166 10257 859
167 8702 859
168 7261 859
169 5938 857
170 4759 855
171 3675 842
172 2718 835
173 1864 816
174 1201 799
175 706 787
176 340 766
177 96 749
178 33 774
179 6 818
180 0 866
181 0 866
