Threshold Cost Clusters
-1 0 1
0 0 1
1 342370 5
2 668403 19
3 967964 36
4 1246578 52
5 1453895 90
6 1678517 99
7 1794221 166
8 1880807 209
9 1903764 482
10 1892516 501
11 1874062 498
12 1843515 499
13 1825280 562
14 1797237 526
15 1781803 525
16 1763302 561
17 1762724 581
18 1744246 613
19 1692990 559
20 1681714 565
21 1679040 628
22 1660239 568
23 1637988 605
24 1617123 553
25 1600357 593
26 1602399 667
27 1569262 609
28 1549627 651
29 1539571 674
30 1519836 662
31 1508127 684
32 1495402 701
33 1474860 685
34 1467288 712
35 1451898 711
36 1428721 686
37 1408886 690
38 1392322 695
39 1379605 697
40 1370002 729
41 1348426 697
42 1337264 692
43 1322796 722
44 1309255 717
45 1295337 753
46 1280846 736
47 1260171 766
48 1251519 773
49 1233393 746
50 1220277 784
51 1199463 741
52 1185737 749
53 1176316 767
54 1155190 769
55 1143373 770
56 1127487 758
57 1115905 809
58 1100975 808
59 1087159 812
60 1072104 778
61 1057493 786
62 1044758 788
63 1027937 785
64 1015624 806
65 1001187 783
66 987260 791
67 973085 805
68 960405 819
69 946010 821
70 931906 812
71 917989 829
72 903565 818
73 890380 825
74 876787 826
75 863934 847
76 849242 827
77 836286 835
78 822813 838
79 808856 843
80 795422 852
81 782521 853
82 768638 849
83 754155 840
84 741001 842
85 728927 862
86 715271 846
87 702115 853
88 688895 849
89 675468 854
90 662690 864
91 649066 852
92 635994 851
93 622837 850
94 609484 854
95 596433 853
96 583507 862
97 570329 861
98 557191 858
99 544058 860
100 531362 866
101 518090 862
102 505210 857
103 492344 865
104 479406 865
105 466620 866
106 453831 866
107 441065 864
108 428415 865
109 415937 866
110 403492 866
111 391144 866
112 378903 866
113 366763 866
114 354621 864
115 342726 866
116 330822 866
117 319029 866
118 307334 866
119 295731 866
120 284248 866
121 272870 866
122 261593 866
123 250430 866
124 239376 866
125 228466 866
126 217705 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112863 865
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43576 865
152 40743 864
153 38045 864
154 35442 865
155 32935 865
156 30531 865
157 28201 865
158 25926 865
159 23711 865
160 21571 865
161 19481 864
162 17476 864
163 15551 864
164 13708 864
165 11936 863
166 10251 861
167 8691 860
168 7209 854
169 5890 850
170 4720 848
171 3677 848
172 2737 844
173 1917 832
174 1287 829
175 783 815
176 361 780
177 108 750
178 39 783
179 5 821
180 0 866
181 0 866
