Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 688466 1
3 1032699 1
4 969699 8
5 1002594 7
6 1100034 19
7 1082302 15
8 1364550 21
9 1291789 14
10 1277478 17
11 1291343 16
12 1451020 22
13 1595927 27
14 1696091 27
15 1706803 47
16 1595100 32
17 1460922 19
18 1354245 10
19 1436981 12
20 1430822 10
21 1469953 13
22 1497832 12
23 1527051 13
24 1560204 17
25 1593737 13
26 1631505 29
27 1653052 30
28 1689969 27
29 1686427 30
30 1708258 30
31 1754328 33
32 1783846 38
33 1809825 42
34 1837677 53
35 1856774 52
36 1876698 54
37 1896198 59
38 1920901 77
39 1913672 115
40 1919632 119
41 1950018 97
42 1958515 98
43 1921980 158
44 1844837 145
45 1841154 142
46 1839037 136
47 1836629 139
48 1816957 143
49 1824214 132
50 1819339 128
51 1824352 135
52 1845585 144
53 1837026 161
54 1809366 161
55 1799893 164
56 1784993 179
57 1756364 309
58 1744561 309
59 1763903 388
60 1696336 309
61 1707439 363
62 1719205 261
63 1705839 261
64 1622666 356
65 1632209 434
66 1622936 513
67 1604288 490
68 1572565 505
69 1576819 575
70 1543571 581
71 1509282 578
72 1480834 582
73 1454718 590
74 1430456 595
75 1411889 610
76 1381957 609
77 1344913 597
78 1308467 588
79 1262848 559
80 1237588 543
81 1220810 565
82 1201970 586
83 1179372 604
84 1172210 624
85 1147701 642
86 1121260 652
87 1094564 662
88 1066408 677
89 1041127 695
90 1012155 708
91 982219 715
92 953225 723
93 927991 739
94 898383 747
95 868657 754
96 839192 766
97 810813 774
98 781967 788
99 752444 790
100 722441 800
101 692055 809
102 662331 822
103 632540 829
104 603564 841
105 574331 845
106 544850 850
107 515058 863
108 484813 865
109 454523 866
110 424212 866
111 393900 866
112 363587 866
113 333275 866
114 302964 866
115 272652 866
116 242340 866
117 212028 866
118 181716 866
119 151404 866
120 121132 866
121 93640 866
122 70444 866
123 51250 866
124 35800 866
125 23701 866
126 14647 866
127 8220 866
128 3947 856
129 1040 623
130 39 503
131 0 788
132 0 866
133 0 866
