Threshold = 69 | F-measure = 0.5532616 | clusters = 458 | common = 402 | cost = 635234.0625
Threshold = 70 | F-measure = 0.5373034 | clusters = 487 | common = 384 | cost = 639300.25
Threshold = 71 | F-measure = 0.5408388 | clusters = 479 | common = 391 | cost = 641259.375
Threshold = 72 | F-measure = 0.543896 | clusters = 474 | common = 394 | cost = 634808.6875
Threshold = 73 | F-measure = 0.5409195 | clusters = 480 | common = 391 | cost = 634050.125
Threshold = 74 | F-measure = 0.5255415 | clusters = 496 | common = 372 | cost = 623450.75
Threshold = 75 | F-measure = 0.5305511 | clusters = 492 | common = 377 | cost = 620240.0625
Threshold = 76 | F-measure = 0.5229957 | clusters = 509 | common = 367 | cost = 611791.9375
Threshold = 77 | F-measure = 0.5193726 | clusters = 515 | common = 367 | cost = 614404.375
Threshold = 78 | F-measure = 0.5049354 | clusters = 516 | common = 354 | cost = 611962.875
Threshold = 79 | F-measure = 0.4975021 | clusters = 526 | common = 345 | cost = 608126.5
Threshold = 80 | F-measure = 0.5058012 | clusters = 525 | common = 353 | cost = 592809.375
Threshold = 81 | F-measure = 0.489545 | clusters = 524 | common = 340 | cost = 599094.3125
Threshold = 82 | F-measure = 0.4862323 | clusters = 538 | common = 336 | cost = 592528.5625
Threshold = 83 | F-measure = 0.476439 | clusters = 544 | common = 328 | cost = 583829.625
Threshold = 84 | F-measure = 0.4722183 | clusters = 549 | common = 325 | cost = 578947.1875
Threshold = 85 | F-measure = 0.4732268 | clusters = 559 | common = 323 | cost = 580162.9375
Threshold = 86 | F-measure = 0.4639629 | clusters = 555 | common = 316 | cost = 596111.5625
Threshold = 87 | F-measure = 0.4649933 | clusters = 560 | common = 317 | cost = 582375.6875
Threshold = 88 | F-measure = 0.4640337 | clusters = 562 | common = 315 | cost = 573002.75
Threshold = 89 | F-measure = 0.4374754 | clusters = 592 | common = 293 | cost = 559975.6875
Threshold = 90 | F-measure = 0.4440672 | clusters = 588 | common = 300 | cost = 551392.875
Threshold = 91 | F-measure = 0.4435296 | clusters = 595 | common = 294 | cost = 546521.3125
Threshold = 92 | F-measure = 0.429061 | clusters = 600 | common = 289 | cost = 541181
Threshold = 93 | F-measure = 0.4170516 | clusters = 604 | common = 280 | cost = 530867.0625
Threshold = 94 | F-measure = 0.4185331 | clusters = 611 | common = 271 | cost = 511981.5625
Threshold = 95 | F-measure = 0.4098804 | clusters = 625 | common = 268 | cost = 509113.28125
Threshold = 96 | F-measure = 0.4089526 | clusters = 615 | common = 267 | cost = 508695.21875
Threshold = 97 | F-measure = 0.4036871 | clusters = 624 | common = 260 | cost = 495752.28125
Threshold = 98 | F-measure = 0.4212766 | clusters = 614 | common = 280 | cost = 518324.78125
Threshold = 99 | F-measure = 0.4191206 | clusters = 612 | common = 279 | cost = 508140.625
Threshold = 100 | F-measure = 0.4159589 | clusters = 618 | common = 275 | cost = 487658.1875
Threshold = 101 | F-measure = 0.4032549 | clusters = 626 | common = 263 | cost = 486243.3125
Threshold = 102 | F-measure = 0.3360638 | clusters = 651 | common = 206 | cost = 483868.03125
Threshold = 103 | F-measure = 0.3934019 | clusters = 629 | common = 249 | cost = 468431.1875
Threshold = 104 | F-measure = 0.3177313 | clusters = 674 | common = 192 | cost = 460815.21875
Threshold = 105 | F-measure = 0.321191 | clusters = 653 | common = 194 | cost = 450140.625
Threshold = 106 | F-measure = 0.2865418 | clusters = 697 | common = 173 | cost = 439771.53125
Threshold = 107 | F-measure = 0.3029162 | clusters = 678 | common = 181 | cost = 427374.15625
Threshold = 108 | F-measure = 0.3152361 | clusters = 670 | common = 189 | cost = 413161.84375
Threshold = 109 | F-measure = 0.309746 | clusters = 669 | common = 185 | cost = 406912.125
Threshold = 110 | F-measure = 0.2313031 | clusters = 731 | common = 143 | cost = 396815.71875
Threshold = 111 | F-measure = 0.2226894 | clusters = 744 | common = 139 | cost = 384995.75
Threshold = 112 | F-measure = 0.2226894 | clusters = 748 | common = 139 | cost = 373122.46875
Threshold = 113 | F-measure = 0.2834145 | clusters = 699 | common = 169 | cost = 359172.5
Threshold = 114 | F-measure = 0.2241762 | clusters = 742 | common = 139 | cost = 349229.8125
Threshold = 115 | F-measure = 0.2308263 | clusters = 740 | common = 142 | cost = 336969.59375
Threshold = 116 | F-measure = 0.2198448 | clusters = 749 | common = 136 | cost = 325448.15625
Threshold = 117 | F-measure = 0.2198448 | clusters = 748 | common = 136 | cost = 313829.25
Threshold = 118 | F-measure = 0.2176087 | clusters = 751 | common = 135 | cost = 302135.5625
Threshold = 119 | F-measure = 0.2506743 | clusters = 725 | common = 151 | cost = 290805
Threshold = 120 | F-measure = 0.2191484 | clusters = 739 | common = 136 | cost = 279432
Threshold = 121 | F-measure = 0.2168917 | clusters = 760 | common = 135 | cost = 268511.34375
Threshold = 122 | F-measure = 0.2214586 | clusters = 745 | common = 137 | cost = 256586.890625
Threshold = 123 | F-measure = 0.2265122 | clusters = 737 | common = 139 | cost = 245767.953125
Threshold = 124 | F-measure = 0.2138222 | clusters = 755 | common = 132 | cost = 235091.65625
Threshold = 125 | F-measure = 0.215579 | clusters = 749 | common = 132 | cost = 224271.796875
Threshold = 126 | F-measure = 0.217057 | clusters = 760 | common = 132 | cost = 213978.40625
Threshold = 127 | F-measure = 0.2101937 | clusters = 771 | common = 128 | cost = 203692.234375
Threshold = 128 | F-measure = 0.2139324 | clusters = 765 | common = 129 | cost = 192923.984375
Threshold = 129 | F-measure = 0.2050282 | clusters = 778 | common = 125 | cost = 183058.078125
Threshold = 130 | F-measure = 0.2072849 | clusters = 778 | common = 126 | cost = 172938.578125
Threshold = 131 | F-measure = 0.2072849 | clusters = 774 | common = 126 | cost = 163053.28125
Threshold = 132 | F-measure = 0.2072849 | clusters = 779 | common = 126 | cost = 153732.875
Threshold = 133 | F-measure = 0.2170331 | clusters = 770 | common = 130 | cost = 143809.328125
Threshold = 134 | F-measure = 0.2085695 | clusters = 773 | common = 126 | cost = 134870.6875
Threshold = 135 | F-measure = 0.2129411 | clusters = 765 | common = 128 | cost = 126191.046875
Threshold = 136 | F-measure = 0.2041176 | clusters = 784 | common = 124 | cost = 118334.1953125
Threshold = 137 | F-measure = 0.2113575 | clusters = 771 | common = 127 | cost = 110245.4140625
Threshold = 138 | F-measure = 0.2177692 | clusters = 771 | common = 130 | cost = 103138.265625
Threshold = 139 | F-measure = 0.2091815 | clusters = 780 | common = 126 | cost = 96325.1171875
Threshold = 140 | F-measure = 0.2047701 | clusters = 779 | common = 124 | cost = 89670.234375
Threshold = 141 | F-measure = 0.2084117 | clusters = 779 | common = 125 | cost = 83946.234375
Threshold = 142 | F-measure = 0.1958472 | clusters = 791 | common = 119 | cost = 78248.453125
Threshold = 143 | F-measure = 0.2024948 | clusters = 786 | common = 122 | cost = 72869.65625
Threshold = 144 | F-measure = 0.1992405 | clusters = 782 | common = 120 | cost = 67813.34375
Threshold = 145 | F-measure = 0.1933941 | clusters = 802 | common = 117 | cost = 63633.9375
Threshold = 146 | F-measure = 0.1911581 | clusters = 801 | common = 116 | cost = 59352.91796875
Threshold = 147 | F-measure = 0.1960498 | clusters = 797 | common = 118 | cost = 55374.9921875
Threshold = 148 | F-measure = 0.1893562 | clusters = 803 | common = 115 | cost = 51928.7734375
Threshold = 149 | F-measure = 0.1891962 | clusters = 810 | common = 114 | cost = 48643.3984375
Threshold = 150 | F-measure = 0.1850741 | clusters = 813 | common = 112 | cost = 45614.5546875
Threshold = 151 | F-measure = 0.1809901 | clusters = 816 | common = 110 | cost = 42732.17578125
Threshold = 152 | F-measure = 0.1814068 | clusters = 818 | common = 110 | cost = 39961.234375
Threshold = 153 | F-measure = 0.1798714 | clusters = 809 | common = 109 | cost = 37072.90625
Threshold = 154 | F-measure = 0.1798714 | clusters = 817 | common = 109 | cost = 34660.578125
Threshold = 155 | F-measure = 0.177969 | clusters = 822 | common = 108 | cost = 32279.13671875
Threshold = 156 | F-measure = 0.177969 | clusters = 823 | common = 108 | cost = 29919.1171875
Threshold = 157 | F-measure = 0.173964 | clusters = 828 | common = 106 | cost = 27684.13671875
Threshold = 158 | F-measure = 0.173964 | clusters = 821 | common = 106 | cost = 25354.19921875
Threshold = 159 | F-measure = 0.173964 | clusters = 827 | common = 106 | cost = 23237.671875
Threshold = 160 | F-measure = 0.1718315 | clusters = 828 | common = 105 | cost = 21173.025390625
Threshold = 161 | F-measure = 0.1740882 | clusters = 831 | common = 106 | cost = 19144.427734375
Threshold = 162 | F-measure = 0.1718315 | clusters = 835 | common = 105 | cost = 17210.27734375
Threshold = 163 | F-measure = 0.1718315 | clusters = 834 | common = 105 | cost = 15292.3486328125
Threshold = 164 | F-measure = 0.1700819 | clusters = 838 | common = 104 | cost = 13502.609375
Threshold = 165 | F-measure = 0.1700819 | clusters = 837 | common = 104 | cost = 11750.447265625
Threshold = 166 | F-measure = 0.1679721 | clusters = 842 | common = 103 | cost = 10127.662109375
Threshold = 167 | F-measure = 0.1645613 | clusters = 846 | common = 101 | cost = 8588.8564453125
Threshold = 168 | F-measure = 0.1628117 | clusters = 849 | common = 100 | cost = 7170.77490234375
Threshold = 169 | F-measure = 0.1584529 | clusters = 852 | common = 98 | cost = 5879.67236328125
Threshold = 170 | F-measure = 0.1584529 | clusters = 852 | common = 98 | cost = 4725.07421875
Threshold = 171 | F-measure = 0.1584529 | clusters = 853 | common = 98 | cost = 3681.72143554688
Threshold = 172 | F-measure = 0.1606947 | clusters = 847 | common = 99 | cost = 2719.228515625
Threshold = 173 | F-measure = 0.1633704 | clusters = 834 | common = 100 | cost = 1891.8251953125
Threshold = 174 | F-measure = 0.1633704 | clusters = 835 | common = 100 | cost = 1288.40100097656
Threshold = 175 | F-measure = 0.1633704 | clusters = 839 | common = 100 | cost = 827.520568847656
Threshold = 176 | F-measure = 0.1633704 | clusters = 841 | common = 100 | cost = 495.162536621094
Threshold = 177 | F-measure = 0.1611137 | clusters = 842 | common = 99 | cost = 267.862609863281
Threshold = 178 | F-measure = 0.159882 | clusters = 847 | common = 98 | cost = 113.656066894531
Threshold = 179 | F-measure = 0.1599034 | clusters = 838 | common = 98 | cost = 15.2767906188965
Threshold = 180 | F-measure = 0.1460025 | clusters = 866 | common = 91 | cost = 0
Threshold = 181 | F-measure = 0.1460025 | clusters = 866 | common = 91 | cost = 0
Best Clustering:
Threshold = 17 | F-measure = 0.7647134 | clusters = 185 | common = 651 | cost = 243531.296875
