Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 108 | Cost = 892421.0625 | Clusters = 566
Threshold = 109 | Cost = 816820.9375 | Clusters = 562
Threshold = 110 | Cost = 764492.375 | Clusters = 599
Threshold = 111 | Cost = 702747.3125 | Clusters = 599
Threshold = 112 | Cost = 649282.8125 | Clusters = 624
Threshold = 113 | Cost = 585584.5 | Clusters = 608
Threshold = 114 | Cost = 537320.125 | Clusters = 653
Threshold = 115 | Cost = 488283.59375 | Clusters = 688
Threshold = 116 | Cost = 439686.625 | Clusters = 687
Threshold = 117 | Cost = 398269.40625 | Clusters = 726
Threshold = 118 | Cost = 358794.96875 | Clusters = 730
Threshold = 119 | Cost = 319628.1875 | Clusters = 733
Threshold = 120 | Cost = 287986.40625 | Clusters = 747
Threshold = 121 | Cost = 256079.28125 | Clusters = 802
Threshold = 122 | Cost = 228618.21875 | Clusters = 818
Threshold = 123 | Cost = 203058.109375 | Clusters = 830
Threshold = 124 | Cost = 179347.09375 | Clusters = 806
Threshold = 125 | Cost = 158652 | Clusters = 833
Threshold = 126 | Cost = 140166.09375 | Clusters = 850
Threshold = 127 | Cost = 123165.1875 | Clusters = 851
Threshold = 128 | Cost = 108020.6796875 | Clusters = 860
Threshold = 129 | Cost = 94535.21875 | Clusters = 851
Threshold = 130 | Cost = 82536.4921875 | Clusters = 864
Threshold = 131 | Cost = 71910.046875 | Clusters = 866
Threshold = 132 | Cost = 62484.171875 | Clusters = 866
Threshold = 133 | Cost = 54161.0390625 | Clusters = 862
Threshold = 134 | Cost = 46866.98828125 | Clusters = 866
Threshold = 135 | Cost = 40433.1640625 | Clusters = 866
Threshold = 136 | Cost = 34768.73828125 | Clusters = 866
Threshold = 137 | Cost = 29820.990234375 | Clusters = 866
Threshold = 138 | Cost = 25513.84765625 | Clusters = 866
Threshold = 139 | Cost = 21759.048828125 | Clusters = 866
Threshold = 140 | Cost = 18521.015625 | Clusters = 866
Threshold = 141 | Cost = 15724.56640625 | Clusters = 866
Threshold = 142 | Cost = 13291.1806640625 | Clusters = 865
Threshold = 143 | Cost = 11218.2841796875 | Clusters = 864
Threshold = 144 | Cost = 9385.3583984375 | Clusters = 858
Threshold = 145 | Cost = 7825.04150390625 | Clusters = 854
Threshold = 146 | Cost = 6487.78515625 | Clusters = 847
Threshold = 147 | Cost = 5349.77685546875 | Clusters = 837
Threshold = 148 | Cost = 4382.2021484375 | Clusters = 838
Threshold = 149 | Cost = 3510.41064453125 | Clusters = 820
Threshold = 150 | Cost = 2844.70727539062 | Clusters = 818
Threshold = 151 | Cost = 2200.8310546875 | Clusters = 799
Threshold = 152 | Cost = 1592.732421875 | Clusters = 775
Threshold = 153 | Cost = 1144.98461914062 | Clusters = 759
Threshold = 154 | Cost = 524.8779296875 | Clusters = 720
Threshold = 155 | Cost = 391.337860107422 | Clusters = 733
Threshold = 156 | Cost = 286.048522949219 | Clusters = 751
Threshold = 157 | Cost = 207.028656005859 | Clusters = 769
Threshold = 158 | Cost = 152.167846679688 | Clusters = 777
Threshold = 159 | Cost = 112.987678527832 | Clusters = 788
Threshold = 160 | Cost = 82.0341949462891 | Clusters = 798
Threshold = 161 | Cost = 57.771125793457 | Clusters = 811
Threshold = 162 | Cost = 40.8773880004883 | Clusters = 822
Threshold = 163 | Cost = 28.8793983459473 | Clusters = 830
Threshold = 164 | Cost = 21.0001106262207 | Clusters = 839
Threshold = 165 | Cost = 15.9173498153687 | Clusters = 842
Threshold = 166 | Cost = 11.3833808898926 | Clusters = 846
Threshold = 167 | Cost = 7.66442012786865 | Clusters = 852
Threshold = 168 | Cost = 4.66442012786865 | Clusters = 854
Threshold = 169 | Cost = 1.92559003829956 | Clusters = 856
Threshold = 170 | Cost = 0.786539971828461 | Clusters = 859
Threshold = 171 | Cost = 0 | Clusters = 860
Threshold = 172 | Cost = 0 | Clusters = 860
Threshold = 173 | Cost = 0 | Clusters = 861
Threshold = 174 | Cost = 0 | Clusters = 862
Threshold = 175 | Cost = 0 | Clusters = 862
Threshold = 176 | Cost = 0 | Clusters = 865
Threshold = 177 | Cost = 0 | Clusters = 865
Threshold = 178 | Cost = 0 | Clusters = 865
Threshold = 179 | Cost = 0 | Clusters = 865
Threshold = 180 | Cost = 0 | Clusters = 865
Threshold = 181 | Cost = 0 | Clusters = 866
Threshold = 182 | Cost = 0 | Clusters = 866
