Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 4 1
5 6 1
6 8 1
7 10 1
8 12 1
9 16 1
10 22 1
11 28 1
12 35 1
13 42 1
14 50 1
15 59 1
16 68 1
17 78 1
18 90 1
19 104 1
20 121 1
21 144 1
22 173 1
23 205 1
24 244 1
25 291 1
26 343 1
27 410 1
28 494 1
29 597 1
30 716 1
31 863 1
32 1037 1
33 1238 1
34 1476 1
35 1763 1
36 2115 1
37 2535 1
38 3020 1
39 3581 1
40 4239 1
41 4997 1
42 5866 1
43 6878 1
44 8041 1
45 9374 1
46 10890 1
47 12639 1
48 14665 1
49 16979 1
50 19597 1
51 22580 1
52 25964 1
53 29785 1
54 34110 1
55 38989 1
56 44486 1
57 50651 1
58 57537 1
59 65196 1
60 73731 1
61 83237 1
62 93792 1
63 105490 1
64 118475 1
65 132823 1
66 148627 1
67 166006 1
68 185126 1
69 206088 1
70 229012 1
71 253940 1
72 281049 1
73 310460 1
74 342317 1
75 376797 1
76 414075 1
77 454309 1
78 497677 1
79 544356 1
80 594447 1
81 648168 1
82 705678 1
83 767123 1
84 832576 1
85 902231 1
86 976296 1
87 1054902 1
88 1138242 1
89 1226530 1
90 1319738 1
91 1418056 1
92 1521595 1
93 1630506 1
94 1745001 1
95 1852398 2
96 1978445 2
97 2095073 3
98 2179246 14
99 2293834 6
100 2399750 10
101 2440420 18
102 2553154 20
103 2627861 30
104 2619098 60
105 2682748 51
106 2739651 52
107 2791150 82
108 2684992 201
109 2613056 169
110 2459160 211
111 2140648 295
112 2170568 272
113 2011902 328
114 1832472 324
115 1819411 410
116 1661254 371
117 1503028 397
118 1302147 401
119 1258598 399
120 1127663 424
121 1092704 386
122 1007517 412
123 934608 417
124 884138 345
125 854017 524
126 819305 652
127 754325 647
128 701114 660
129 647299 787
130 588332 728
131 537256 767
132 490653 806
133 445813 828
134 403419 804
135 365215 831
136 329587 845
137 296518 848
138 266075 846
139 237812 834
140 212232 844
141 189376 852
142 168318 858
143 148910 847
144 130966 843
145 115936 858
146 101711 859
147 88901 860
148 77556 863
149 67405 866
150 58341 866
151 50322 866
152 43295 866
153 37095 864
154 31747 866
155 27035 866
156 22906 866
157 19276 864
158 16138 862
159 13452 860
160 11159 857
161 9206 851
162 7583 852
163 6216 850
164 4988 839
165 3742 810
166 2849 790
167 1723 708
168 982 677
169 398 642
170 289 672
171 217 700
172 164 728
173 124 747
174 93 768
175 70 786
176 43 793
177 22 798
178 9 812
179 2 828
180 0 837
181 0 844
182 0 847
183 0 852
184 0 860
185 0 862
186 0 864
187 0 864
188 0 864
189 0 865
190 0 865
191 0 865
192 0 865
193 0 865
194 0 865
195 0 866
196 0 866
