Threshold Cost Clusters
-1 0 1
0 0 1
1 0 1
2 1 1
3 2 1
4 4 1
5 6 1
6 8 1
7 10 1
8 13 1
9 17 1
10 21 1
11 25 1
12 31 1
13 39 1
14 47 1
15 58 1
16 69 1
17 83 1
18 102 1
19 130 1
20 167 1
21 207 1
22 254 1
23 309 1
24 374 1
25 451 1
26 542 1
27 645 1
28 770 1
29 926 1
30 1113 1
31 1338 1
32 1606 1
33 1933 1
34 2333 1
35 2827 1
36 3418 1
37 4119 1
38 4950 1
39 5936 1
40 7096 1
41 8443 1
42 10010 1
43 11843 1
44 13966 1
45 16417 1
46 19260 1
47 22563 1
48 26363 1
49 30723 1
50 35674 1
51 41307 1
52 47716 1
53 54957 1
54 63118 1
55 72338 1
56 82694 1
57 94335 1
58 107345 1
59 121815 1
60 137893 1
61 155753 1
62 175568 1
63 197516 1
64 221768 1
65 248518 1
66 278035 1
67 310514 1
68 346112 1
69 385065 1
70 427580 1
71 473805 1
72 523971 1
73 578259 1
74 636877 1
75 700104 1
76 768309 1
77 841679 1
78 920365 1
79 1004605 1
80 1094676 1
81 1180460 2
82 1281826 2
83 1379480 3
84 1472733 5
85 1560637 8
86 1674173 9
87 1784354 11
88 1900567 13
89 1949731 27
90 2028227 37
91 2145931 36
92 2269702 36
93 2274801 51
94 2257027 82
95 2265783 89
96 2290674 126
97 2221815 140
98 2091872 189
99 1912745 312
100 1839063 481
101 1620872 374
102 1518132 420
103 1364748 426
104 1280706 454
105 1160030 494
106 1099360 538
107 1006696 565
108 897543 556
109 830905 588
110 771838 602
111 713268 639
112 656497 631
113 598436 651
114 543452 644
115 496553 684
116 451350 680
117 407083 701
118 365959 717
119 328551 754
120 293385 743
121 263753 802
122 234054 791
123 208381 785
124 184942 816
125 163545 841
126 144183 841
127 127117 861
128 111528 857
129 97660 863
130 85304 863
131 74336 864
132 64616 864
133 56038 866
134 48501 866
135 41893 866
136 36130 866
137 31087 866
138 26667 866
139 22815 866
140 19476 866
141 16556 866
142 14030 865
143 11843 863
144 9991 862
145 8337 854
146 6973 850
147 5815 849
148 4776 840
149 3896 833
150 3160 830
151 2402 815
152 1852 804
153 1452 801
154 1085 796
155 656 776
156 507 787
157 185 767
158 124 781
159 77 795
160 47 804
161 26 810
162 14 816
163 7 826
164 3 832
165 1 836
166 0 841
167 0 846
168 0 851
169 0 853
170 0 856
171 0 859
172 0 860
173 0 863
174 0 863
175 0 863
176 0 863
177 0 864
178 0 864
179 0 864
180 0 864
181 0 866
182 0 866
