Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7345.939453125
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7889.3408203125
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8465.1669921875
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9074.95703125
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9721.9833984375
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10407.0244140625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11131.2060546875
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11905.1298828125
Threshold = 74 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12724.1484375
Threshold = 75 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13591.884765625
Threshold = 76 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14517.5166015625
Threshold = 77 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 15483.431640625
Threshold = 78 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 16503.931640625
Threshold = 79 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17571.666015625
Threshold = 80 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 18703.654296875
Threshold = 81 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 19898.423828125
Threshold = 82 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21143.35546875
Threshold = 83 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 22451.779296875
Threshold = 84 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 23832.396484375
Threshold = 85 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25293.357421875
Threshold = 86 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 26835.767578125
Threshold = 87 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 28451.259765625
Threshold = 88 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 30142.630859375
Threshold = 89 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 31913.88671875
Threshold = 90 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 33767.03125
Threshold = 91 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 35707.23828125
Threshold = 92 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 37736.6796875
Threshold = 93 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 39857.94921875
Threshold = 94 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 42085.23046875
Threshold = 95 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 44402.37890625
Threshold = 96 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 46830.53515625
Threshold = 97 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 49369.35546875
Threshold = 98 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 52008.82421875
Threshold = 99 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 54757.5703125
Threshold = 100 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 57618.29296875
Threshold = 101 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 60598.3046875
Threshold = 102 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 63708.890625
Threshold = 103 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 66944.671875
Threshold = 104 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 70309.2421875
Threshold = 105 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 73463.0703125
Threshold = 106 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 76901.09375
Threshold = 107 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 80522.90625
Threshold = 108 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 85361
Threshold = 109 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 89513.6328125
Threshold = 110 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 93807.828125
Threshold = 111 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 98265.4375
Threshold = 112 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 100915.265625
Threshold = 113 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 107690.65625
Threshold = 114 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 110235.7578125
Threshold = 115 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 115183.140625
Threshold = 116 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 123214.8359375
Threshold = 117 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 128744.671875
Threshold = 118 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 131087.71875
Threshold = 119 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 136735.296875
Threshold = 120 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 146399.65625
Threshold = 121 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 152665.59375
Threshold = 122 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 159148.703125
Threshold = 123 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 165819.09375
Threshold = 124 | F-measure = 0.2578394 | clusters = 2 | common = 99 | cost = 170362.6875
Threshold = 125 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 179799.703125
Threshold = 126 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 181902.890625
Threshold = 127 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 189192.890625
Threshold = 128 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 193513.484375
Threshold = 129 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 200999.984375
Threshold = 130 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 208692.609375
