Threshold = 93 | F-measure = 0.9627479 | clusters = 31 | common = 220 | cost = 162.645782470703
Threshold = 94 | F-measure = 0.9483801 | clusters = 32 | common = 215 | cost = 165.956283569336
Threshold = 95 | F-measure = 0.9483801 | clusters = 32 | common = 215 | cost = 157.132369995117
Threshold = 96 | F-measure = 0.9483801 | clusters = 32 | common = 215 | cost = 149.734436035156
Threshold = 97 | F-measure = 0.9483801 | clusters = 33 | common = 215 | cost = 140.303070068359
Threshold = 98 | F-measure = 0.9534088 | clusters = 34 | common = 216 | cost = 131.966567993164
Threshold = 99 | F-measure = 0.9534088 | clusters = 34 | common = 216 | cost = 127.471717834473
Threshold = 100 | F-measure = 0.9534088 | clusters = 34 | common = 216 | cost = 124.772750854492
Threshold = 101 | F-measure = 0.9534088 | clusters = 34 | common = 216 | cost = 123.471725463867
Threshold = 102 | F-measure = 0.9534088 | clusters = 34 | common = 216 | cost = 123.425964355469
Threshold = 103 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 124.271064758301
Threshold = 104 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 126.873123168945
Threshold = 105 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 133.207580566406
Threshold = 106 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 148.2744140625
Threshold = 107 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 170.483932495117
Threshold = 108 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 198.107177734375
Threshold = 109 | F-measure = 0.9495295 | clusters = 35 | common = 215 | cost = 235.16862487793
Threshold = 110 | F-measure = 0.9422207 | clusters = 36 | common = 212 | cost = 264.878112792969
Threshold = 111 | F-measure = 0.9422207 | clusters = 36 | common = 212 | cost = 305.006896972656
Threshold = 112 | F-measure = 0.9422207 | clusters = 36 | common = 212 | cost = 359.712768554688
Threshold = 113 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 426.985809326172
Threshold = 114 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 498.512145996094
Threshold = 115 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 580.344848632812
Threshold = 116 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 674.590759277344
Threshold = 117 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 787.713684082031
Threshold = 118 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 922.468811035156
Threshold = 119 | F-measure = 0.9364679 | clusters = 38 | common = 210 | cost = 1076.06555175781
Threshold = 120 | F-measure = 0.9260117 | clusters = 39 | common = 207 | cost = 1230.56726074219
Threshold = 121 | F-measure = 0.9260117 | clusters = 39 | common = 207 | cost = 1396.87719726562
Threshold = 122 | F-measure = 0.9217517 | clusters = 39 | common = 206 | cost = 1578.53381347656
Threshold = 123 | F-measure = 0.9217517 | clusters = 39 | common = 206 | cost = 1773.77478027344
Threshold = 124 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 1987.27124023438
Threshold = 125 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 2212.69018554688
Threshold = 126 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 2456.48217773438
Threshold = 127 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 2717.7353515625
Threshold = 128 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 3004.61840820312
Threshold = 129 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 3325.8203125
Threshold = 130 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 3681.080078125
Threshold = 131 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 4065.86962890625
Threshold = 132 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 4476.9970703125
Threshold = 133 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 4911.45361328125
Threshold = 134 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 5362.517578125
Threshold = 135 | F-measure = 0.9176467 | clusters = 40 | common = 205 | cost = 5832.69091796875
Threshold = 136 | F-measure = 0.9150604 | clusters = 41 | common = 204 | cost = 6318.6083984375
Threshold = 137 | F-measure = 0.9150604 | clusters = 41 | common = 204 | cost = 6812.63623046875
Threshold = 138 | F-measure = 0.9150604 | clusters = 42 | common = 204 | cost = 7310.63818359375
Threshold = 139 | F-measure = 0.9150604 | clusters = 42 | common = 204 | cost = 7811.33984375
Threshold = 140 | F-measure = 0.9150604 | clusters = 42 | common = 204 | cost = 8314.1181640625
