Threshold Cost Clusters
-1 0 1
0 0 1
1 344886 2
2 682348 9
3 1008841 16
4 1288603 35
5 1518666 87
6 1704624 117
7 1865295 124
8 1902804 455
9 1868814 449
10 1868336 496
11 1862306 506
12 1831700 533
13 1794494 460
14 1795580 531
15 1779961 516
16 1763246 526
17 1736808 560
18 1695801 537
19 1715077 563
20 1693845 571
21 1666153 556
22 1641449 543
23 1642740 593
24 1605017 577
25 1598058 609
26 1564526 560
27 1569068 611
28 1565019 653
29 1538474 642
30 1530324 667
31 1506459 630
32 1492579 628
33 1476152 631
34 1461374 621
35 1453639 696
36 1430434 618
37 1417235 643
38 1403532 685
39 1392369 708
40 1365660 681
41 1354579 722
42 1345114 750
43 1324341 705
44 1311245 747
45 1293262 717
46 1278253 753
47 1262074 712
48 1247402 719
49 1235306 776
50 1218460 742
51 1203328 739
52 1186930 720
53 1171470 759
54 1160848 758
55 1144937 796
56 1126789 763
57 1113408 784
58 1099529 754
59 1086905 791
60 1068010 747
61 1058019 799
62 1042901 790
63 1029956 822
64 1015916 778
65 1002867 852
66 986855 788
67 974045 823
68 960192 835
69 946202 827
70 933075 829
71 918266 840
72 904442 840
73 890068 826
74 877571 847
75 863614 840
76 849625 841
77 836283 857
78 822758 857
79 809157 849
80 795689 847
81 782257 855
82 767955 842
83 754608 846
84 741767 848
85 728659 847
86 715594 858
87 702116 857
88 688793 860
89 675697 862
90 662186 853
91 649120 856
92 636059 862
93 622850 856
94 609615 855
95 596859 866
96 583679 863
97 570367 860
98 557417 865
99 544343 865
100 531174 862
101 518335 866
102 505204 863
103 492346 865
104 479464 864
105 466620 866
106 453762 865
107 441047 865
108 428411 865
109 415870 865
110 403457 865
111 391144 866
112 378762 863
113 366762 866
114 354709 866
115 342725 866
116 330823 866
117 319029 866
118 307334 866
119 295730 866
120 284247 866
121 272869 866
122 261594 866
123 250430 866
124 239376 866
125 228422 865
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49817 866
150 46613 866
151 43599 866
152 40768 866
153 38068 866
154 35463 866
155 32935 865
156 30531 865
157 28200 865
158 25926 865
159 23711 865
160 21536 863
161 19452 861
162 17450 861
163 15502 859
164 13648 856
165 11876 855
166 10224 856
167 8673 856
168 7218 854
169 5900 850
170 4733 851
171 3666 845
172 2711 839
173 1908 830
174 1260 816
175 750 803
176 297 752
177 99 744
178 35 774
179 6 816
180 0 866
181 0 866
