Threshold Cost Clusters
-1 0 1
0 0 1
1 344838 2
2 685338 7
3 1004857 18
4 1311452 27
5 1561037 50
6 1781654 68
7 1849251 346
8 1800350 347
9 1781528 356
10 1776133 352
11 1785764 421
12 1728041 374
13 1747800 393
14 1723570 425
15 1709949 429
16 1689890 417
17 1678518 432
18 1650187 451
19 1640260 468
20 1587696 433
21 1591192 440
22 1598561 480
23 1583779 511
24 1569916 495
25 1552404 534
26 1551313 498
27 1520328 502
28 1518910 491
29 1501567 528
30 1499772 562
31 1471966 531
32 1469776 562
33 1455354 562
34 1436694 573
35 1419432 533
36 1411719 608
37 1397854 572
38 1391299 623
39 1376537 626
40 1361966 626
41 1344680 631
42 1324800 644
43 1316122 675
44 1306117 692
45 1290170 673
46 1274834 690
47 1262966 742
48 1244813 745
49 1232288 728
50 1218035 754
51 1204568 790
52 1188429 775
53 1173794 776
54 1158602 777
55 1142084 780
56 1129386 786
57 1114994 801
58 1100447 805
59 1087858 839
60 1072601 837
61 1057392 809
62 1042287 827
63 1029997 832
64 1015903 840
65 1002178 839
66 988888 853
67 973942 843
68 959303 834
69 946343 851
70 932760 854
71 919376 848
72 904639 843
73 891363 856
74 876877 850
75 863991 856
76 849964 848
77 836459 857
78 822955 858
79 809477 859
80 796068 861
81 782507 861
82 769408 866
83 755738 863
84 742584 864
85 729187 864
86 715853 865
87 702483 864
88 689253 865
89 675853 863
90 662740 863
91 649519 863
92 636305 865
93 623197 866
94 610021 866
95 596817 865
96 583724 866
97 570562 865
98 557458 865
99 544416 866
100 531362 866
101 518336 866
102 505265 865
103 492387 866
104 479412 865
105 466620 866
106 453831 866
107 440949 864
108 428409 865
109 415625 861
110 403453 865
111 391145 866
112 378846 865
113 366708 865
114 354679 865
115 342665 865
116 330822 866
117 319028 866
118 307333 866
119 295730 866
120 284193 865
121 272868 866
122 261593 866
123 250429 866
124 239376 866
125 228466 866
126 217705 866
127 207080 866
128 196579 866
129 186251 866
130 176126 866
131 166209 866
132 156526 866
133 147099 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85872 865
142 80151 865
143 74773 865
144 69785 865
145 65137 865
146 60830 865
147 56873 865
148 53206 865
149 49799 865
150 46595 865
151 43562 864
152 40732 864
153 38034 864
154 35426 863
155 32921 863
156 30499 862
157 28172 862
158 25900 862
159 23668 861
160 21532 862
161 19457 862
162 17443 861
163 15504 860
164 13665 860
165 11893 859
166 10188 854
167 8617 851
168 7164 847
169 5863 845
170 4711 845
171 3639 839
172 2705 835
173 1867 813
174 1214 796
175 675 769
176 198 705
177 99 743
178 37 779
179 7 817
180 0 866
181 0 866
