Threshold Cost Clusters
-1 0 1
0 0 1
1 343412 4
2 677444 12
3 995315 24
4 1263222 45
5 1531508 64
6 1746121 99
7 1892380 328
8 1870574 410
9 1863851 401
10 1858839 472
11 1839290 509
12 1824647 479
13 1758600 461
14 1778723 535
15 1731248 471
16 1736366 484
17 1725577 538
18 1690887 540
19 1655523 559
20 1681759 613
21 1662410 580
22 1656211 626
23 1624377 593
24 1608151 602
25 1614363 649
26 1581884 619
27 1567708 655
28 1559543 685
29 1533444 672
30 1525458 676
31 1510894 655
32 1484990 670
33 1481118 692
34 1454431 685
35 1443907 680
36 1436999 687
37 1420045 705
38 1396578 701
39 1383234 709
40 1372872 753
41 1358356 684
42 1344492 742
43 1321994 715
44 1304927 725
45 1291898 746
46 1266534 697
47 1256387 719
48 1244570 723
49 1231024 769
50 1218183 778
51 1200164 752
52 1187139 788
53 1170692 735
54 1155932 741
55 1139619 745
56 1127079 769
57 1113216 789
58 1097963 788
59 1083590 782
60 1071703 815
61 1056214 784
62 1044106 814
63 1029304 796
64 1013043 795
65 1000726 806
66 986880 804
67 970809 818
68 959933 816
69 944473 814
70 930848 823
71 918334 833
72 903952 812
73 889580 832
74 876589 835
75 863922 843
76 849795 847
77 836065 840
78 822238 840
79 808688 847
80 795700 849
81 782080 854
82 768626 851
83 755757 861
84 741866 855
85 727486 848
86 715499 857
87 702184 859
88 688875 858
89 675857 862
90 662270 858
91 649048 860
92 636305 865
93 622859 860
94 609888 863
95 596537 861
96 583443 859
97 570510 864
98 557499 866
99 544158 862
100 531252 864
101 518259 862
102 505036 857
103 492279 864
104 479363 862
105 466460 863
106 453764 865
107 441115 866
108 428479 866
109 415839 864
110 403358 863
111 391088 865
112 378844 865
113 366763 866
114 354709 866
115 342711 865
116 330822 866
117 319014 865
118 307333 866
119 295730 866
120 284247 866
121 272869 866
122 261593 866
123 250429 866
124 239376 866
125 228466 866
126 217705 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156527 866
133 147099 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60820 865
147 56863 865
148 53196 865
149 49773 864
150 46570 864
151 43559 864
152 40729 864
153 38031 864
154 35428 864
155 32922 864
156 30519 864
157 28190 864
158 25916 864
159 23702 864
160 21563 864
161 19486 864
162 17476 863
163 15552 863
164 13705 862
165 11930 860
166 10266 860
167 8711 860
168 7250 859
169 5905 853
170 4728 846
171 3677 843
172 2716 836
173 1919 829
174 1281 826
175 698 787
176 298 755
177 93 751
178 28 773
179 4 812
180 0 866
181 0 866
