Threshold Cost Clusters
-1 0 1
0 0 1
1 343048 4
2 679242 10
3 995261 22
4 1259568 47
5 1536070 60
6 1726838 113
7 1853833 135
8 1898562 449
9 1883830 486
10 1858244 472
11 1788285 425
12 1778872 423
13 1761094 453
14 1763788 453
15 1722060 464
16 1744123 523
17 1659434 465
18 1681724 506
19 1649076 444
20 1635515 512
21 1623284 508
22 1610350 554
23 1594667 524
24 1587617 521
25 1563616 596
26 1544315 533
27 1538235 553
28 1523856 569
29 1517253 563
30 1497565 613
31 1488385 635
32 1486344 650
33 1455404 618
34 1447628 608
35 1434724 625
36 1426924 666
37 1403711 612
38 1393731 653
39 1376255 680
40 1362714 664
41 1349241 688
42 1339424 711
43 1322926 706
44 1308271 718
45 1294219 691
46 1275942 674
47 1257414 688
48 1246751 716
49 1229063 745
50 1216379 717
51 1201558 755
52 1188767 758
53 1172605 722
54 1155030 695
55 1138686 723
56 1126922 735
57 1115700 769
58 1098404 758
59 1085564 756
60 1070367 769
61 1054700 782
62 1039989 751
63 1027514 775
64 1014299 784
65 1000447 809
66 987567 812
67 970606 798
68 956752 807
69 943557 797
70 931104 816
71 917196 811
72 904895 831
73 890456 829
74 877557 849
75 862465 830
76 848872 833
77 836572 852
78 822981 855
79 809057 847
80 795732 848
81 782605 855
82 769252 855
83 754947 851
84 741886 851
85 729157 856
86 715901 866
87 702367 863
88 688352 859
89 675704 859
90 662734 862
91 649423 863
92 636243 864
93 622927 859
94 609747 861
95 596652 862
96 583389 860
97 570411 863
98 557352 864
99 544316 862
100 531263 862
101 518335 866
102 505046 862
103 492168 863
104 479477 866
105 466556 865
106 453829 866
107 441046 865
108 428478 866
109 415935 866
110 403428 865
111 391061 864
112 378884 865
113 366763 866
114 354709 866
115 342692 865
116 330822 866
117 319029 866
118 307334 866
119 295731 866
120 284248 866
121 272870 866
122 261594 866
123 250430 866
124 239377 866
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176127 866
131 166209 866
132 156526 866
133 147098 866
134 137970 866
135 129192 866
136 120808 866
137 112876 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56864 865
148 53197 865
149 49790 865
150 46587 865
151 43553 864
152 40723 864
153 38022 863
154 35419 863
155 32914 863
156 30513 863
157 28183 864
158 25910 864
159 23696 864
160 21542 863
161 19447 861
162 17445 861
163 15511 860
164 13662 859
165 11900 859
166 10240 858
167 8662 855
168 7231 854
169 5936 854
170 4761 850
171 3705 850
172 2772 846
173 1912 829
174 1234 813
175 703 783
176 343 774
177 99 744
178 34 777
179 4 813
180 0 866
181 0 866
