Threshold = 109 | Cost = 1025861.75 | Clusters = 529
Threshold = 110 | Cost = 952004.375 | Clusters = 537
Threshold = 111 | Cost = 881899.375 | Clusters = 572
Threshold = 112 | Cost = 808175.4375 | Clusters = 567
Threshold = 113 | Cost = 748984.3125 | Clusters = 601
Threshold = 114 | Cost = 682448.25 | Clusters = 641
Threshold = 115 | Cost = 625463.3125 | Clusters = 630
Threshold = 116 | Cost = 570821.5 | Clusters = 672
Threshold = 117 | Cost = 519357.375 | Clusters = 650
Threshold = 118 | Cost = 477206.25 | Clusters = 697
Threshold = 119 | Cost = 430064.65625 | Clusters = 698
Threshold = 120 | Cost = 388256.5 | Clusters = 685
Threshold = 121 | Cost = 351306.5 | Clusters = 732
Threshold = 122 | Cost = 316357 | Clusters = 744
Threshold = 123 | Cost = 282166.0625 | Clusters = 772
Threshold = 124 | Cost = 253881.890625 | Clusters = 768
Threshold = 125 | Cost = 225760.1875 | Clusters = 800
Threshold = 126 | Cost = 201046.265625 | Clusters = 795
Threshold = 127 | Cost = 178333.953125 | Clusters = 816
Threshold = 128 | Cost = 157423.90625 | Clusters = 827
Threshold = 129 | Cost = 139474.125 | Clusters = 837
Threshold = 130 | Cost = 122812.4453125 | Clusters = 853
Threshold = 131 | Cost = 107737.25 | Clusters = 842
Threshold = 132 | Cost = 94191.5703125 | Clusters = 847
Threshold = 133 | Cost = 82669.921875 | Clusters = 866
Threshold = 134 | Cost = 72045.0078125 | Clusters = 866
Threshold = 135 | Cost = 62623.91015625 | Clusters = 865
Threshold = 136 | Cost = 54357.76171875 | Clusters = 864
Threshold = 137 | Cost = 47095.26953125 | Clusters = 866
Threshold = 138 | Cost = 40712.0234375 | Clusters = 866
Threshold = 139 | Cost = 35105.15234375 | Clusters = 865
Threshold = 140 | Cost = 30251.16796875 | Clusters = 866
Threshold = 141 | Cost = 25975.470703125 | Clusters = 866
Threshold = 142 | Cost = 22252.91796875 | Clusters = 866
Threshold = 143 | Cost = 19006.77734375 | Clusters = 866
Threshold = 144 | Cost = 16188.5166015625 | Clusters = 866
Threshold = 145 | Cost = 13743.1806640625 | Clusters = 865
Threshold = 146 | Cost = 11655.732421875 | Clusters = 865
Threshold = 147 | Cost = 9857.6953125 | Clusters = 864
Threshold = 148 | Cost = 8300.2041015625 | Clusters = 861
Threshold = 149 | Cost = 6945.96875 | Clusters = 856
Threshold = 150 | Cost = 5779.21044921875 | Clusters = 851
Threshold = 151 | Cost = 4794.97021484375 | Clusters = 849
Threshold = 152 | Cost = 3948.60034179688 | Clusters = 843
Threshold = 153 | Cost = 3218.83203125 | Clusters = 837
Threshold = 154 | Cost = 2565.61987304688 | Clusters = 825
Threshold = 155 | Cost = 2026.56677246094 | Clusters = 820
Threshold = 156 | Cost = 1608.76721191406 | Clusters = 821
Threshold = 157 | Cost = 1139.75402832031 | Clusters = 800
Threshold = 158 | Cost = 791.0654296875 | Clusters = 789
Threshold = 159 | Cost = 587.076416015625 | Clusters = 791
Threshold = 160 | Cost = 239.859603881836 | Clusters = 766
Threshold = 161 | Cost = 171.812347412109 | Clusters = 779
Threshold = 162 | Cost = 121.189315795898 | Clusters = 787
